PropertyID,NewPropertyID,Property,Address,YearAcquired,OwnedAcres,PolParkFinder,Zip,SubArea,SpecialInfo,ProgramInfo,HistoricalInfo,Phone,AltProperty,PayToPark,Facebook,ActivityCatalog,ConstantContact,latitude,longitude
21,21,Community Music Center,3350 SE Francis Street,1969,0.22957659,1,97202,SE,,"<a href=""http://www.portlandoregon.gov/parks/60371"">Classes, rentals & more!</a>","PP&R's first music program began in 1955 at the Knott Street (now Matt Dishman) Community Center where guitar classes, as well as a string ensemble and a community orchestra, were offered. A major commitment to music education was made in the late 1950s when all existing music classes were moved to the Woodstock Community Center. Children's music classes were introduced, including music theory and ear-training, and a variety of stringed instruments were taught. As the children's abilities improved, a string ensemble was formed. It was evident that the music program would soon outgrow its new home.  Community Music Center, Inc. was founded as a non-profit association in February 1960 by a group of parents and interested citizens. It played a vital role in the remodeling a beautiful 1912 firehouse - designated a Portland Historic Landmark - which became the permanent home of CMC in 1969. That project was made possible by a generous gift from John D. and Elizabeth Gray and the donation of services by architect Robert Oringdulph. Substantial improvements were made to the facility in 1999, bringing the building up to the seismic requirements of the City of Portland, and making the building accessible in accordance with the American Disability Act. <p>",5038233177,Community Music Center,,CMCpdx,,,45.494552,-122.630532
22,22,Cottonwood Bay,SW Hamilton Court (off Landing Drive),1995,0.83396951,1,97219,SW,,,"Cottonwood Bay Park is part of the larger Willamette Greenway Trail, and features one of the few remaining stands of cottonwood trees on the west bank of the Willamette River. In the early 1990s, the site was just a tax lot until a developer for the nearby Avalon Hotel approached the City about putting in some amenities. Working together, a natural area was created for the public to enjoy. To complement the natural area, the developer hired a landscape architect to design a native landscape around the hotel. <p>",,Cottonwood Bay Park,,,,,45.489882,-122.671315
23,23,Couch Park,NW 19th Avenue and Glisan Street,1977,2.40128689,1,97209,CC/NW,Park hours: 5:00am-midnight  <b>Accessibility Information</b>  Play Area  - Universally accessible unitary play surfacing   Play Equipment  - universally accessible play equipment and play features  - universally accessible group swing and 2 adaptive swings  - Sensory play elements including music   Other Amenities  - Accessible restroom  - Accessible drinking fountain - Accessible picnic tables and benches,,"This park is named after Captain John Heard Couch, who first sailed for Portland from Newburyport, Massachusetts in 1839. His first home in Portland was near where Union Station is today, but he owned all the land from the river to approximately NW 23rd Avenue and from Burnside north for a mile. Captain Couch developed this land and named the blocks alphabetically (A Street, B Street, and so forth). During the last half of the 1800s, Couch's land was known as the Alphabet District. The captain was a well-liked, civic-minded man, so it's only appropriate that one of Portland's beautiful parks be named in his honor.  The site of today's Couch Park was once the estate of 19th century merchant prince Cicero Hunt Lewis, who married Captain Couch's daughter Clementine. The estate consisted of an elegant mansion, stables, and a greenhouse, all of which were built in 1881. The Lewises raised eleven children on these grounds.  After the Lewis house was demolished, the Portland School District acquired the property in 1913 and built a new Couch School to replace the first one built in 1882 located at NW 17th & Kearney. The block east of the school, now the park, was used as a playground.  In 1970 the Captain John Brown house (built in 1890 at 2035 NW Everett) was moved onto the northeast corner of the site to save it from demolition. Private citizens donated money to restore the building as a center for senior citizens and medical services. A HUD Historic Preservation Agency grant of $100,000 was insufficient to complete the restoration and when the additional funds couldn't be raised, the project was abandoned. By 1973 the house had been severely vandalized and was finally demolished.  Couch School became a special school in 1968 and in 1974 its name changed to the Metropolitan Learning Center (MLC), leaving only the park with Couch's name.  In 2014, the wooden play structure and stage at Couch Park was closed and removed after spending approximately 40 years exposed to the Oregon rain. While repairs were made as long as they could to the beloved park feature, the structure had deteriorated beyond repair.   Thanks to the 2014 Parks Replacement Bond passed by Portland voters and a partnership with Harper’s Playground and Friends of Couch Playground, a new inclusive playground, plaza, and Portland Loo was opened in May of 2019. The $500,000 raised by Harper’s Playground and the Friends of Couch Playground included a Nature in Neighborhoods grant from Metro.  <p>",,Couch Park,,,,,45.526705,-122.691572
24,24,Council Crest Park,SW Council Crest Drive,1937,42.95008773,1,97201,SW,"Park hours: 5:00am-midnight. Motor vehicles may access the park beginning at 8:00am daily; the park is closed to motor vehicles at 9:00pm from April 1-October 31. From November 1-March 31 the park is closed to motor vehicles at 7:00pm. Gate may remain closed during inclement weather.  To reserve a wedding site, please call 503-823-2525.",,"Council Crest is thought to be the highest point in Portland at 1,073 feet above sea level. Originally known as Talbot's Mountain after its pioneer settlers, it has also been known as Glass Hill and later as Fairmount, the name of the road that encircles it. According to legend, Council Crest got its name because it was here where Native Americans held meetings and built signal fires. According to McArthur's <I>Oregon Geographic Names</I>, however, it was named in 1898 by delegates to the National Council of Congregational Churches, who met on the top.  The water tower that now stands atop Council Crest used to be a 77-foot-tall wooden observatory, part of the Council Crest Amusement Park which operated from 1907-1929 and was torn down in 1941. From the top of the hill, one can see five mountains in the Cascade Range: Mt Hood, Mt St Helens, Mt Adams, Mt Jefferson, and Mt Rainier. In addition, the park boasts a fantastic 180-degree view of Portland and surrounding towns.  In July 1956, a welded, sheet bronze drinking fountain featuring a mother and child was installed in the park. Sculpted by Frederick Littman, an associate professor of art at Portland State College, it has been mistakenly identified as a pioneer woman. The sculptor said the statue did not represent a particular era; it was simply a mother and child playing in the park and depicts joy. The fountain was made possible by a $6,000 bequest to the city in 1949 from the estate of Florence Laberee, widow of local builder and contractor George P. Laberee.  In the 1980s, the statue was stolen in the middle of the night by vandals who used hacksaws to dismantle it from its base, sawing through the mother's ankles. Nearly 10 years later, during a narcotics raid on a home in northeast Portland, officers found the rusty statue in the backyard under a cover. The statue was re-erected in the center of the park near the entrance, as opposed to its original location on the eastern side of the park. <p>",,Council Crest Park,,,,,45.498857,-122.707985
25,25,Creston Park,SE 44th Avenue and Powell Blvd,1920,14.38059242,1,97206,SE,"Park hours: 5:00am-10:00pm  To reserve a sports field or picnic area, call 503-823-2525. <a href=""http://www.portlandonline.com/parks/index.cfm?c=38301""  target=""_blank"">Picnic Site Maps & Info</a>  <b>Accessibility Information</b>  <i>Parking</i> - Parking lot & street parking - 3 designated parking spaces - Paved pathway to play area - 500 feet to play area from parking lot with a moderate slope - 50 feet to play area from street  <i>Play Area</i> - Engineered mulch surface - Ramp into play area  <i>Play Equipment</i> - Sensory play elements  <i>Other Amenities</i> - Accessible restroom",,"One of the new wave of multi-use neighborhood parks during the City Beautiful movement, this property became a park due to a bond issue for parks and playground expansion approved by voters in 1919. The natatorium (swim facility) was construced in 1925 along with two brick comfort stations. By 1926, tennis courts, horseshoe pits, and a ball field were added. <p>",,Creston Park,,,,,45.496287,-122.616612
27,27,Crystal Springs Rhododendron Garden,5801 SE 28th Avenue,1923,9.4895708,1,97202,SE,"Reach the garden by email at <a href=""mailto:gatehousecsrg@gmail.com"">gatehousecsrg@gmail.com</a> - our email is checked regularly!  <I>Garden Hours</I> April 1-September 30: 6:00am-10:00pm October 1-March 31: 6:00am-6:00pm  <I>Entrance Fees</I> Admission is free to all from October 1, through February 28.   A $5 admission fee is charged between 10:00am-6:00pm, Tuesday through Sunday, March 1, through September 30. No admission fee on Mondays. Admission proceeds go toward garden maintenance and enhancements.  Admission is free for children under 12 and members of Friends of Crystal Springs Rhododendron Garden. On the weekends, some areas may have limited accessibility due to special events.   Entrance, parking, major trails, and restrooms are all wheelchair accessible.  Feel free to call ahead at 503-267-7509.  <I>Directions</I> The garden is located on SE 28 Avenue, one block north of Woodstock, between Eastmoreland Golf Course and Reed College. Or take TriMet bus #19 Woodstock. This bus takes alternating routes as it goes through Eastmoreland; ask the driver for the stop nearest the garden.  <i>Events</i> All events must be scheduled through the Crystal Springs Rhododendron Garden Event Coordinator, Rachael Moloney. Fees are calculated based on size of group and hours reserved. For additional information, email <a href=""mailto:eventscsrg@gmail.com"">eventscsrg@gmail.com</a> or call 503-975-6743. Visit our <a href=""http://weddingsatcrystalsprings.com""  target=""_blank"">event website</a>.  Photo sessions must be scheduled in advance. This is for those paying or being paid to take pictures. Email <a href=""mailto:gatehousecsrg@gmail.com"">gatehousecsrg@gmail.com</a> to receive pricing and to schedule your session.","Visit <a href=""http://www.rhodies.org/xstl/xstl_home.htm""  target=""_blank"">rhodies.org</a> for more information.  <I>Annual Events</I> The first weekend in April is our Early Show with several hundred trusses of early blooming rhododendrons. There is an even larger display on Mother's Day weekend. For more info, call 503-771-8386.   <I>Volunteers</I> Volunteers from the Portland Chapter of the American Rhododendron Society, the Friends of Crystal Springs Rhododendron Garden, and the Master Gardeners program care for the grounds and are responsible for all education programs and special events. Regular volunteer work parties take place every Wednesday, February through November. There are also volunteer days on selected Saturdays. New volunteers are always welcome. To learn more about volunteering or Garden Tours, email <a href=""mailto:csrgvol@gmail.com"">csrgvol@gmail.com</a> or call 503-823-5121.  <i>Groups of 15 or more visitors</i> Please contact our garden manager one week in advance so we can prepare the garden for your visit. Email <a href=""mailto:csrgvol@gmail.com"">csrgvol@gmail.com</a>  <I>Friends of Crystal Springs Rhododendron Garden</I> The Friends, an auxiliary of the Portland Chapter of the American Rhododendron Society, is dedicated to maintaining Crystal Springs Rhododendron Garden as a year-round place of great beauty. Friends enjoy free admission for themselves and one guest. Membership applications are available at the gate, or call 503-771-8386.","William S. Ladd, who served two terms as the mayor of Portland in the 1800s, was the original owner of the property. He called it Crystal Springs Farm. The oldest rhododendron in the current garden was planted prior to 1917.   The development of a display and test garden was initiated in 1950 by the Portland Chapter of the American Rhododendron Society. Sam Jackson, owner of the Oregon Journal, had donated 27 acres on Terwilliger Blvd for the garden, but the site was deemed unsuitable because of its steep terrain. Claude I. Sersanous, one of the group assigned to select a new site, suggested the garden's present location near Reed College. Referred to as Shakespeare Island by Reed College students because of the Shakespearean plays that had been performed there, it was abandoned and overgrown with brush and blackberries. Through the efforts of Portland Chapter members and other volunteers, and with the support of Park Superintendent C.P. Keyser, the garden flourished. The first rhododendron show was held in 1956, and the garden was officially named Crystal Springs Rhododendron Garden in 1964.  Originally, the garden was developed as a test garden, which meant that new rhododendrons could be evaluated over a period of several years. Lack of security and adequate protection made this impractical and the concept was dropped. The original garden, on what is now called the Island, was designed by Ruth Hansen, a landscape architect and Portland Chapter member. The portion of the garden known as the Peninsula was designed by Wallace K. Huntington, a well-known Portland landscape architect, and was dedicated in 1977. The rocks used to build the waterfalls and other features were gathered from Mt Hood and Mt Adams.  The more than 2,500 rhododendrons, azaleas, and companion plants in the garden have all been donated by volunteers and interested individuals, or purchased with specially donated funds. Beginning in early spring and continuing into summer, they provide a magnificent display of color, giving visitors the opportunity to view many varieties rarely seen in the Pacific Northwest. During the fall, many companion trees add dramatic coloring. Spring-fed Crystal Springs Lake surrounds much of the garden, attracting many species of birds and waterfowl. <p>",5037718386,Crystal Springs Rhododendron Garden,,CrystalSpringsRhododendronGardenPortland,,,45.478655,-122.636127
28,28,Cully Community Garden,east of NE 42nd Avenue and Killingworth Street,1993,0.51898345,1,97218,NE,,,,5038231612,Cully Community Garden,,PDXcommunitygardens,,,45.562304,-122.618687
31,31,Custer Park,SW 21st Avenue and Capitol Hill Road,1954,6.32544288,1,97219,SW,"Park hours: 5:00am-midnight  To reserve a sports field, call 503-823-2525.  <b>Accessibility Information</b>  <i>Parking</i> - Street parking - Paved pathway to play area with moderate slope - 900 feet to play area  <i>Play Area</i> - Engineered mulch surface - Ramp into play area - Partially fenced  <i>Play Equipment</i> - Transfer station - Sensory play elements  <i>Other Amenities</i> - Accessible restroom",,"This park was named for General George Armstrong Custer, at the time of his promotion the youngest general in the history of the United States Army (Galusha Pennypacker was the youngest during the Civil War). Although he died after making a grave error at the Battle of the Little Bighorn, Custer had a substantial national prominence and had been considered a possible presidential candidate. <p>",,Custer Park,,,,,45.470588,-122.700534
33,33,Dawson Park,N Stanton Street and Williams Avenue,1921,2.04897586,1,97227,NE,"Park hours: 5:00am-midnight  This park has a splash pad - <a href=""https://www.portlandoregon.gov/parks/article/578662""  target=""_blank"">click here for hours and more information</a>.  <a href=""http://www.portlandoregon.gov/parks/54478""  target=""_blank"">Dawson Park Improvement Project</a>  To reserve a picnic area, call 503-823-2525. <a href=""http://www.portlandonline.com/parks/index.cfm?c=38301""  target=""_blank"">Picnic Site Maps and Info</a>  <b>Accessibility Information</b>  <i>Parking</i> - Street parking - Paved accessible pathways from all four corners to all park features - 50 feet to play area  <i>Play Area</i> - Synthetic unitary surfacing for universal access - Ramp into play area - Fenced on three sides  <i>Play Equipment</i> - Universally accessible equipment - Two universally-accessible adaptive swings - Sensory play elements  <i>Other Amenities</i> - Accessible restroom - Accessible picnic shelter - Accessible gazebo - Accessible drinking fountain - Accessible basketball court - Accessible picnic tables - Accessible interactive water feature with historic interpretive elements - Accessible central loop pathway",,"Dawson Park is named in honor of an Episcopal minister, the Rev. John Dawson, who was an advocate of child welfare and civic improvement in the 1920s. This space was once a cow pasture and then a ballfield used by the Immaculate Heart Church and School. It was also a frequent stopping place for small circuses and medicine shows. By the late 1940s, it functioned as an unofficial town square for the surrounding African American community. The park was the epicenter of many political and social movements during the next 30 years. Robert F. Kennedy spoke here. Civil rights marches began here.  The gazebo in the park was built in 1978 to showcase the 120 year-old cupola salvaged from the Hill Block Building, once a cornerstone of the old Albina commercial district and an informal gathering place for the African-American community. The onion-like dome was landmark architecture on the Hill Block Building located on the northwest corner of the intersection of N. Russell & Williams. The building and many others were torn down in the early 1970s to make room for a proposed expansion of the Emanuel Hospital campus. The expansion did not take place due to a cut in federal funds. The gazebo was renovated in 2008.  The summer of 2000 saw an increase of criminal activity in the park. A partnership was formed between the Portland Police Bureau, Portland Parks & Recreation, the Eliot Neighborhood Association, Legacy Emanuel Hospital, Immaculate Heart Church, neighbors, and local businesses to address the problem. This community effort resulted in a revitalization of the park, adding amenities like permanent checkers tables and promoting positive activities for all ages.  By 2007, the park had fallen into some disrepair and a Dawson Master Plan, developed with the community, envisioned restoring it as a key community gathering space. With funding secured in 2011, area residents, community organizations, and area churches provided input to Portland Parks & Recreation (PP&R) and Portland Development Commission (PDC) on how park improvements could promote better use, create a more inviting feel for families, and highlight the park’s deep cultural and historical roots. The final park design by landscape architects 2.ink Studio reflected all of these elements.   Construction began in October 2013, managed by PDC to allow flexibility to optimize minority-certified contractor utilization on the project. Primary funding for Dawson Park's redevelopment was provided from PDC’s Interstate Corridor Urban Renewal Area. Legacy Emanuel Medical Center, in partnership with the non-profit Portland Parks Foundation, donated generous funding toward the newly completed water feature. PP&R and Parks Commissioner Amanda Fritz, with advocacy from the Northeast Coalition of Neighbors (NECN) and the non-profit Harper's Playground, funded upgraded playground surfacing for universal accessibility. <p>",,Dawson Park,,,,,45.544195,-122.667442
34,34,Delta Park,N Denver Avenue and Martin Luther King Jr Blvd,1950,87.46555299,1,97217,N,"Park hours: 6:00am-10:00pm  To reserve a sports field, call 503-643-1530.",,"Delta Park and the Portland International Raceway were built on the site of the city of Vanport City, which was destroyed by a flood in 1948. Prior to its destruction, Vanport was the second largest city in Oregon. Vanport was constructed in order to house the thousands of war-time shipbuilders that Henry Kaiser, of Henry Kaiser Industries, had recruited from New York to help with the war effort. Vanport, which was constructed in under a year, was deemed 'The Miracle City.' It had its own post office, nine schools, a fire station, a 400-seat cafeteria, a 785-seat theater, a library, a hospital, fourteen playgrounds, five commercial centers, and a police station staffed by twenty-two officers.  The problem with this instant city was that the quality of housing and building construction left much to be desired. On Sunday, May 30, 1948, just one day after the general manager of Vanport announced that the city was ""not in any foreseeable danger"" from rising flood waters, a segment of the ring-like dike surrounding the city collapsed. A 12-foot wall of water rushed through the community, wiping out all of the poorly-constructed houses. The residents were never officially notified that they were in danger.  Delta Park has been the site of quite a bit of controversy over the years. In 1964 there were some hotly contested plans to build a domed stadium in the park. Had the plans gone through, the stadium would have been the largest of its kind, with permanent seating for 60,000 and temporary seating up to 80,000. The plans were not approved and we now have a place for all sorts of outdoor activities. <p>",,Delta Park,,,,,45.598735,-122.680252
37,37,Unthank Park,510 N Shaver Street,1966,4.56388879,1,97227,NE,"Park hours: 5:00am-midnight  To reserve a sports field, call 503-823-2525.",,"Dr. DeNorval Unthank (1899-1977) was born in Pennsylvania, raised in Kansas City, and received his medical degree from Howard University in Washington, DC. He moved to Portland in 1929 to start his own practice. He was on the staff of Good Samaritan, Providence, St Vincent, and Emanuel Hospitals. After retiring in 1970, he served as a medical consultant for the state workmen’s compensation board until 1976.   He won several awards for his work against racial discrimination as well as for his public service work. In 1958, the Oregon Medical Society named him Doctor of the Year. For his role in bringing down racial barriers, the city of Portland named this park in his honor in 1969. Unthank was the recipient of the distinguished citizenship award from the University of Oregon in 1971 and the citizenship award from Concordia College in 1975. Unthank was the first African American member of the Portland City Club. He was president of the local chapter of the National Association for the Advancement of Colored People (NAACP) and cofounder of the Portland Urban League. Unthank sat on Oregon’s Committee for Equal Rights and the Council of Social Agencies. An important figure in the early civil rights movement in Portland, Unthank opened many doors and opportunities for other minorities. <p>",,Unthank Park,,,,,45.551421,-122.671278
38,38,DeWitt Park,1805 SW DeWitt Street,1960,0.63585112,1,97239,SW,Park hours: 5:00am-midnight,,Francis DeWitt was a pioneer who came to Oregon from Germany in 1847 on a sailing vessel. <p>,,DeWitt Park,,,,,45.480459,-122.693953
39,39,Dickinson Park,SW 55th Avenue and Alfred Court,1993,18.66048415,1,97219,SW,Park hours: 5:00am-midnight,,,,Dickinson Park and Woods,,,,,45.44933,-122.73507
