lvl2,lvl3code,lvl3cate
Administrative Services,ADM,ADM-14.03 - Residential and Commercial Water and Sewer Leak Adjustment Policy
Administrative Services,ADM,ADM-14.04 - Collection of Personal Information Policy
Administrative Services,ADM,ADM-14.05 - Water Quality Credits Policy
Administrative Services,ADM,ADM-14.06 - Wholesale Commodity Rates for Water Delivered by City
Administrative Services,ADM,ADM-14.07 - Rates and Charges for Water and Water-Related Services
Administrative Services,ADM,ADM-14.08 - Cost Sharing Methodology for Distribution Main Extensions and Fire Hydrants Installed in the Public Right of Way
Administrative Services,ADM,ADM-14.09 - Collection of Delinquent Receivables in Small Claims Court
Administrative Services,ADM,ADM-15.01 - Lobbying Entity Registration & Reporting
Administrative Services,ADM,ADM-15.02 - City Official Reporting
Administrative Services,ADM,ADM - 15.03 Enforcement and Civil Penalties
Administrative Services,ADM,ADM 15.20 Enforcement And Civil Penalties
Administrative Services,ADM,ADM 15.21 Political Consultant Interpretation
Administrative Services,ADM,ADM-16.01 - Elected Official Payment Approval Authorization
Administrative Services,ADM,ADM-17.01 - Process for Filling Vacancies on the 2011 Charter Commission
Administrative Services,ADM,ADM-17.02 - City Advisory Bodies - Strengthen Transparency and Accountability and Enhance Community Service Opportunities
Administrative Services,ADM,ADM-18.01 - City of Portland Civil Rights Title VI Plan
Administrative Services,ADM,ADM-18.02 - Title VI Civil Rights Complaint Procedures
Administrative Services,ADM,ADM-18.20 - Title II ADA Complaint Procedures
Administrative Services,ADM,ADM-18.21 - City of Portland American's With Disabilities Act Title II Non-discrimination Policy
Administrative Services,ADM,ADM-18.22 - Americans with Disabilities Act Title II Process for Documenting Technical Infeasibility and Historical Significance Exceptions
Administrative Services,ADM,ADM-18.30 - Citywide Racial Equity Goals and Strategies
Administrative Services,ADM,ADM-18.31 - City's Equity Budget Tool and Racial Equity Plans
Administrative Services,ADM,ADM-19.01 - Portland Sick Time Administrative Rules
Administrative Services,ADM,ADM-20.01 - Marijuana Regulatory License Fees
Administrative Services,ADM,ADM-21.01 - Removing Barriers to Employment Administrative Rules
Archives & Records Management,ADM,ADM-8.01 - Preservation of Archival (Historical) Material
Archives & Records Management,ADM,"ADM-8.02 - Paper Size Standard - 8 1/2"" X 11"" (Letter Size)"
Archives & Records Management,ADM,ADM-8.03 - Public Records Requests
Archives & Records Management,ADM,ADM-8.04 - Transferring Records to the Archives and Records Center (PARC)
Archives & Records Management,ADM,ADM-8.05 - City Bureau Access to Records Stored at the Archives and Records Center (PARC)
Archives & Records Management,ADM,ADM-8.06 - Public Access to Records Stored at the Archives and Records Center (PARC)
Archives & Records Management,ADM,ADM-8.07 - Standards for Storing City Records
Archives & Records Management,ADM,ADM-8.08 - Microfilm
Archives & Records Management,ADM,ADM-8.09 - Destruction of Records
Archives & Records Management,ADM,ADM-8.10 - Preparing City Record Retention Schedules
Archives & Records Management,ADM,ADM-8.11 - Identification of Bureau Vital Records
Archives & Records Management,ADM,"ADM-8.12 - Management, Preservation and Storage of Electronic Records and Electronic Mail Correspondence (E-Mail)"
Archives & Records Management,ADM,ADM-8.13  - Micrographic and Digital Imaging Conversion Policies
Archives & Records Management,ADM,ADM-8.14 - Scanning Standards for Bureau Records
Arts Education and Access Income Tax,LIC,LIC-11.01 - Definitions
Arts Education and Access Income Tax,LIC,LIC-11.02 - Authority of Division
Arts Education and Access Income Tax,LIC,LIC-11.03 - Authority of Director
Arts Education and Access Income Tax,LIC,LIC-11.04 - Disclosure of Financial Information
Arts Education and Access Income Tax,LIC,LIC-11.05 - Request for Financial Information
Arts Education and Access Income Tax,LIC,LIC-11.06 - Late Payments
Arts Education and Access Income Tax,LIC,LIC-11.07 - Protests
Arts Education and Access Income Tax,LIC,LIC-11.08 - Penalties
Arts Education and Access Income Tax,LIC,LIC-11.09 - Residency
Arts Education and Access Income Tax,LIC,LIC-11.10 - Household Exemption
Arts Education and Access Income Tax,LIC,"LIC-11.11 - Liability Date of ""Eighteen Years Old"""
Arts Education and Access Income Tax,LIC,LIC-11.12 - Date for Paying Tax
Arts Education and Access Income Tax,LIC,LIC-11.13 - Refund Claims
Arts Education and Access Income Tax,LIC,LIC-11.14 - Disbursement Calculation for Districts with Charter Schools
Arts Education and Access Income Tax,LIC,LIC-11.15 - Permanent Filing Exemption for Seniors or Permanently Disabled Individuals
Arts Education and Access Income Tax,LIC,LIC-11.16 - Discretionary Penalty Waivers
Arts Education and Access Income Tax,LIC,LIC-11.17 - Certified Arts or Music Education Teacher
Assessments & Liens,ENB,ENB-12.07 - Lien Reduction Case Review Process (BDS)
Assessments & Liens,ENB,ENB-12.08 - Lien Reduction Case Review Process (ONI)
Assessments & Liens,ENB,ENB-12.09 - Collections and Foreclosure Process Redemption Interest Rate and Redemption Penalty Rate
Budget,FIN,FIN-1.01 - Fall FY 2001-02 Supplemental Budget
Budget,FIN,FIN-1.02 - FY 2003-04 Annual Budget
Budget,FIN,FIN-1.03  - FY 2003-04 State Revenue Sharing Program
Budget,FIN,FIN-1.04 - Spring FY 2003-04 Supplemental Budget
Budget,FIN,FIN-1.05 - Fall FY 2004-05 Supplemental Budget 
Budget,FIN,FIN-1.06 - FY 2005-06 State Revenue Sharing Program
Budget,FIN,FIN-1.07 - FY 2005-06 Annual Budget
Budget,FIN,FIN-1.08 - Spring FY 2004-05 Supplemental Budget
Budget,FIN,FIN-1.09 - FY 2004-05 Spring Minor Supplemental Budget
Budget,FIN,FIN-1.10 - FY 2005-06 Fall Minor Supplemental Budget
Budget,FIN,FIN-1.11 - FY 2005-06 Fall Supplemental Budget 
Budget,FIN,FIN-1.12 - FY 2006-07 Annual Budget
Budget,FIN,FIN-1.13 - FY 2006-07 State Revenue Sharing Program
Budget,FIN,FIN-1.14 - FY 2006-07 Fall Major Supplemental Budget
Budget,FIN,FIN-1.15 - FY 2006-07 Fall Minor Supplemental Budget
Budget,FIN,FIN-1.16 - FY 2006-07 Winter Minor Supplemental Budget
Budget,FIN,FIN-1.17 - FY 2005-06 Winter Minor Supplemental Budget
Budget,FIN,FIN-1.18 - FY 2005-06 Spring Major Supplemental Budget
Budget,FIN,FIN-1.19 - FY 2005-06 Spring Minor Supplemental Budget
Budget,FIN,FIN-1.20 - FY 2006-07 Spring Minor Supplemental Budget
Budget,FIN,FIN-1.21 - FY 2006-07 Spring Major Supplemental Budget
Budget,FIN,FIN-1.22 - FY 2007-08 State Revenue Sharing Program
Budget,FIN,FIN-1.23 - FY 2007-08 Annual Budget
Budget,FIN,FIN-1.24 - FY 2007-08 Fall Major Supplemental Budget
Budget,FIN,FIN-1.25 - FY 2007-08 Fall Minor Supplemental Budget
Budget,FIN,FIN-1.26 - FY 2007-08 Winter Major Supplemental Budget
Budget,FIN,FIN-1.27 - FY 2007-08 Winter Budget Adjustments
Budget,FIN,FIN-1.28 - FY 2008-09 State Revenue Sharing Program
Budget,FIN,FIN-1.29 - FY 2007-08 Spring Major Supplemental Budget
Budget,FIN,FIN-1.30 - FY 2008-09 Annual Budget
Budget,FIN,FIN-1.31 - FY 2007-08 Spring Budget Adjustments
Budget,FIN,FIN-1.32 - FY 2008-09 Fall Major Supplemental Budget
Budget,FIN,FIN-1.33 - FY 2008-09 Fall Budget Adjustment and Minor Supplemental Budget
Budget,FIN,FIN-1.34 - FY 2008-09 Spring Major Supplemental Budget
Budget,FIN,FIN-1.35 - FY 2008-09 Spring Minor Supplemental Budget
Budget,FIN,FIN-1.36 - FY 2008-09 Winter Budget Adjustments
Budget,FIN,FIN-1.37 - FY 2008-09 Major Supplemental Budget for the Grants Fund
Budget,FIN,FIN-1.38 - FY 2009-10 Annual Budget
Budget,FIN,FIN-1.39 - FY 2009-10 Services Provided by City for Eligibility for State Shared Revenues
Budget,FIN,FIN-1.40 - FY 2009-10 Funds from State Under State Revenue Sharing Program
Budget,FIN,FIN-1.41 - FY 2009-10 Fall Budget Adjustment and Minor Supplemental Budget
Budget,FIN,FIN-1.42 - FY 2009-10 Winter Supplemental Budget
Budget,FIN,FIN-1.43 - FY 2009-10 Spring Supplemental Budget
Budget,FIN,FIN-1.44 - FY 2010-11 Funds from State Under State Revenue Sharing Program
Budget,FIN,FIN-1.45 - FY 2010-11 Annual Budget
Budget,FIN,FIN-1.46 - FY 2010-11 Fall Supplemental Budget
Budget,FIN,FIN-1.47 - FY 2010-11 Winter Supplemental Budget
Budget,FIN,FIN-1.48 - FY 2010-11 Spring Supplemental Budget
Budget,FIN,FIN-1.49 - FY 2011-12 Funds from State Under State Revenue Sharing Program
Budget,FIN,FIN-1.50 - FY 2011-12 Annual Budget
Budget,FIN,FIN-1.51 - FY 2010-11 Supplemental Budget Over-Expenditure Process
Budget,FIN,FIN-1.52 - FY 2011-12 Fall Supplemental Budget
Budget,FIN,FIN-1.53 - FY 2011-12 Spring Supplemental Budget
Budget,FIN,FIN-1.54 - FY 2012-13 Funds from State Under State Revenue Sharing Program
Budget,FIN,FIN-1.55 - FY 2011-12 Supplemental Budget Over-Expenditure Process
Budget,FIN,FIN-1.56 - FY 2012-13 Annual Budget
Budget,FIN,FIN-1.57 - FY 2012-13 Fall Supplemental Budget
Budget,FIN,FIN-1.58 - FY 2012-13 Winter Supplemental Budget
Budget,FIN,FIN-1.59 - FY 2012-13 Spring Supplemental Budget
Budget,FIN,FIN-1.60 - FY 2012-13 Supplemental Budget Over-Expenditure Process
Budget,FIN,FIN-1.61 - FY 2013-14 Funds from State Under State Revenue Sharing Program
Budget,FIN,FIN-1.62 - FY 2013-14 Annual Budget
Budget,FIN,FIN-1.63 - FY 2013-14 Fall Supplemental Budget
Budget,FIN,FIN-1.64 - FY 2013-14 Spring Supplemental Budget
Budget,FIN,FIN-1.65 - FY 2013-14 Supplemental Budget Over-Expenditure Process
Budget,FIN,FIN-1.66 - FY 2014-15 Funds from State Under State Revenue Sharing Program
Budget,FIN,FIN-1.67 - FY 2014-15 Annual Budget
Budget,FIN,FIN-1.68 - FY 2014-15 Fall Supplemental Budget
Budget,FIN,FIN-1.69 - FY 2014-15 Spring Supplemental Budget
Budget,FIN,FIN-1.70 - FY 2014-15 Supplemental Budget Over-Expenditure Process
Budget,FIN,FIN-1.71 - FY 2015-16 Funds from State Under State Revenue Sharing Program
Budget,FIN,FIN-1.72 - FY 2015-16 Annual Budget
Budget,FIN,FIN-1.73 - FY 2015-16 Fall Supplemental Budget
Budget,FIN,FIN-1.74 - FY 2015-16 Revised Budget for Housing Emergency
Budget,FIN,FIN-1.75 - FY 2015-16 Spring Supplemental Budget
Budget,FIN,FIN-1.76 - FY 2016-17 Funds from State Under State Revenue Sharing Program
Budget,FIN,FIN-1.77 - FY 2016-17 Annual Budget
Budget,FIN,FIN-1.78 - FY 2015-16 Supplemental Budget Over-Expenditure Process
Budget,FIN,FIN-1.79 - FY 2016-17 Fall Supplemental Budget
Budget,FIN,FIN-1.80 - FY 2016-17 Spring Supplemental Budget
Budget,FIN,FIN-1.81 - FY 2017-18 Funds from State Under State Revenue Sharing Program
Budget,FIN,FIN-1.82 - FY 2017-18 Annual Budget
Budget,FIN,FIN-1.83 - FY 2016-17 Supplemental Budget Over-Expenditure Process
Budget,FIN,FIN-1.84 - FY 2017-18 Fall Supplemental Budget
Budget,FIN,FIN-1.85 - FY 2017-18 Spring Supplemental Budget
Budget,FIN,FIN-1.86 - FY 2018-19 Annual Budget
Budget,FIN,FIN-1.87 - FY 2017-18 Supplemental Budget Over-Expenditure Process
Budget,FIN,FIN-1.88 - FY 2018-19 Fall Supplemental Budget
Budget,FIN,FIN-1.89 - FY 2018-19 Spring Supplemental Budget
Cable & Franchises ,UTL,UTL-1.01 - Cable Fund
Cable & Franchises ,UTL,UTL-1.02 - Franchise Application Procedure
Cable & Franchises ,UTL,UTL-1.03 - Wireless Right-of-Way Agreement Application Procedure
Cable & Franchises ,UTL,UTL-1.04 - Competitive Cable Franchise Application Process
Cable & Franchises ,UTL,UTL-1.05 - Siting Private Wireless Facilities in City Right-Of-Way
City Council,ADM,"ADM-7.01 - Drafting Manual for Ordinances, Resolutions & Reports"
City Council,ADM,ADM-7.02 - Council and Contracts Program Policies & Procedures
City Council,ADM,ADM-7.03 - Council Documents Redaction / Non-Disclosure Policy
Civil Rights,ADM,ADM-18.01 - City of Portland Civil Rights Title VI Plan
Civil Rights,ADM,ADM-18.02 - Title VI Civil Rights Complaint Procedures
Civil Rights,ADM,ADM-18.20 - Title II ADA Complaint Procedures
Civil Rights,ADM,ADM-18.21 - City of Portland American's With Disabilities Act Title II Non-discrimination Policy
Civil Rights,ADM,ADM-18.22 - Americans with Disabilities Act Title II Process for Documenting Technical Infeasibility and Historical Significance Exceptions
Classification & Compensation ,HRAR,HRAR-8.01 - Hours of Work and Schedules
Classification & Compensation ,HRAR,HRAR-8.02 - Hours of Work and Overtime Compensation - FLSA Covered Employees
Classification & Compensation ,HRAR,"HRAR-8.03 - Hours of Work, Overtime Compensation & Management Leave: FLSA Exempt Employees"
Classification & Compensation ,HRAR,HRAR-8.04 - Compensation
Classification & Compensation ,HRAR,HRAR-8.05 - Classification
Classification & Compensation ,HRAR,HRAR-8.06 - Working Out of Classification
Cultural Resources ,ART,ART-2.01 - Cultural Resource Records
Development Services Administrative Policies & Procedures,ENB,ENB-13.01 - Accessory Short Term Rental (ASTR) Enforcement
Development Services Administrative Policies & Procedures,ENB,ENB-13.04 - Fee Refunds 
Development Services Administrative Policies & Procedures,ENB,ENB-13.21 - Recurring Environmental Violation Enforcement Process and Fines
Development Services Administrative Policies & Procedures,ENB,ENB-13.22 - Fee Waivers
Development Services Administrative Policies & Procedures,ENB,ENB-13.23 - Permitting Original Art Murals
Development Services Administrative Policies & Procedures,ENB,ENB-13.24 - Notification Process for Final Land Division Decisions (Plats)
Development Services Administrative Policies & Procedures,ENB,ENB-13.25 - Administrative Fees for Land Use Processes
Development Services Fee Schedules,ENB,ENB-14.01 - Building and Other Permits Fee Schedule
Development Services Fee Schedules,ENB,ENB-14.02 - Electrical Permit Fee Schedule
Development Services Fee Schedules,ENB,ENB-14.04 - Land Use Services Fee Schedule
Development Services Fee Schedules,ENB,ENB-14.05 - Mechanical Permit Fee Schedule
Development Services Fee Schedules,ENB,ENB-14.07 - Plumbing Permit Fee Schedule
Development Services Fee Schedules,ENB,"ENB-14.08 - Sign, Awning Permit and Registration Fee Schedule"
Development Services Fee Schedules,ENB,ENB-14.09 - Site Development Fee Schedule
Development Services Fee Schedules,ENB,ENB-14.10 - Enforcement Fee and Penalty Schedule
Development Services Fee Schedules,ENB,ENB-14.11 - Site Development Fee Schedule for Land Use Reviews
Development Services Fee Schedules,ENB,ENB-14.12 - Life Safety Review Fee on Land Use Cases
Discipline,HRAR,HRAR-5.01 - Discipline
Diversity Development & Affirmative Action ,BHR,BHR-16.01 - Diversity Development/Affirmative Action Guiding Principles and Strategic Plan
Diversity Development & Affirmative Action ,BHR,BHR-16.02 - Equal Employment Opportunity Affirmative Action Plan 2008-2012
Diversity Development & Affirmative Action ,BHR,BHR-16.03 - Equal Employment Opportunity Affirmative Action Plan 2008-2012 - Extension
Diversity Development & Affirmative Action ,BHR,BHR-16.04 - City of Portland Equal Employment Opportunity Affirmative Action Plan 2013-2017
Diversity Development & Affirmative Action ,BHR,BHR-16.05 - Charles Jordan Standard for Direct Appointments
Diversity Development & Affirmative Action ,BHR,BHR-16.06 - City of Portland Equal Employment Opportunity Affirmative Action Plan 2013-2017 - Extension
Diversity Development & Affirmative Action ,BHR,BHR-16.07 - Equal Employment Opportunity Affirmative Action Plan for Minorities & Women 2018-2022
Emergency Operations,EMG,EMG-1.01 - Basic Emergency Operations Plan
Emergency Operations,EMG,EMG-1.02 - Evacuation Annex to the Basic Emergency Operations Plan
Emergency Operations,EMG,"EMG-1.03 - Chemical, Biological, Radiological, Nuclear and Explosive (CBRNE) Incident Annex"
Emergency Operations,EMG,EMG-1.04 - Mitigation Action Plan
Emergency Operations,EMG,EMG-1.05 - Alert and Warning Annex
Emergency Operations,EMG,EMG-1.06 - Flood Response Appendix
Emergency Operations,EMG,EMG-1.07 - Terrorism Appendix
Emergency Operations,EMG,EMG-1.08 - Communications Annex
Emergency Operations,EMG,EMG-1.09 - Earthquake Response Appendix
Emergency Operations,EMG,EMG-1.10 - Portland Local Energy Assurance Plan Appendix
Employee Behavior & Expectations - Rules,HRAR,HRAR-4.01 - Drug & Alcohol Use Prohibited
Employee Behavior & Expectations - Rules,HRAR,HRAR-4.02 - Smoking and Tobacco
Employee Behavior & Expectations - Rules,HRAR,"HRAR-4.03 - Dress, Appearance and Fragrance in the Work Place"
Employee Behavior & Expectations - Rules,HRAR,HRAR-4.04 - Telework
Employee Behavior & Expectations - Rules,HRAR,HRAR-4.05 - Outside Employment and Volunteer Activities
Employee Behavior & Expectations - Rules,HRAR,HRAR-4.06 - Political Activity
Employee Behavior & Expectations - Rules,HRAR,"HRAR-4.07 - Awards, Gifts, Prizes and Promotional Items"
Employee Behavior & Expectations - Rules,HRAR,HRAR-4.08 - Information Technologies
Employee Behavior & Expectations - Rules,HRAR,HRAR-4.08(A) - Social Media
Employee Behavior & Expectations - Rules,HRAR,HRAR-4.09 - Use of City Resources
Employee Behavior & Expectations - Rules,HRAR,HRAR-4.10 - Travel
Employee Behavior & Expectations - Rules,HRAR,HRAR-4.11 - Inclement Weather
Employee Behavior & Expectations - Rules,HRAR,HRAR-4.12 - Workplace Violence Prohibited
Employee Behavior & Expectations - Rules,HRAR,HRAR-4.13 - Vehicle Loss Control
Employee Behavior & Expectations - Rules,HRAR,HRAR-4.14 Renumbered to HRAR-11.03 - Duty to Report Unlawful or Improper Actions
Employee Benefits,HRAR,HRAR-10.01 - Benefits General
Employee Benefits,HRAR,HRAR-10.02 - Employee Assistance Program (EAP)
Employee Benefits,HRAR,HRAR-10.03 - Trip Reduction Incentive Program (TRIP)
Employee Development & Training,HRAR,HRAR-9.01 - Employee Training and Development
Employee Development & Training,HRAR,HRAR-9.02 - Performance Management
Employee Development & Training,HRAR,HRAR-9.03 - Training Plans
Employee Movement ,HRAR,HRAR-7.01 - Transfers
Employee Movement ,HRAR,HRAR-7.02 - Promotions
Employee Movement ,HRAR,HRAR-7.03 - Demotion
Employee Movement ,HRAR,HRAR-7.04 - Redeployment
Employee Movement ,HRAR,HRAR-7.05 - Separation from Service
Employee Movement ,HRAR,HRAR-7.06 - Layoff & Recall
Employee Movement ,HRAR,HRAR-7.07 - Reinstatement
Employee Movement ,HRAR,HRAR-7.08 - Injured Employee Return to Work
Employee Movement ,HRAR,HRAR-7.09 - Medical Layoff
Employee Movement ,HRAR,HRAR-7.10 - Organization and Position Management
Employee Movement ,HRAR,HRAR-7.11 - Unemployment Claims
Employment,HRAR,HRAR-3.01 - Recruitment Processes
Employment,HRAR,HRAR-3.02 - Eligible Lists
Employment,HRAR,HRAR-3.03 - Types of Appointments
Employment,HRAR,HRAR-3.04 - Temporary Appointments
Employment,HRAR,HRAR-3.05 - Employment of Minors
Employment,HRAR,HRAR-3.06 - Employment of Retirees
Employment,HRAR,HRAR-3.07 - Veterans' Preference
Employment,HRAR,HRAR-3.08 - Probationary Period
Employment,HRAR,HRAR-3.09 - Driving Records
Employment,HRAR,HRAR-3.10 - Nepotism
Employment,HRAR,HRAR-3.11 - Criminal Conviction Checks
Employment,HRAR,HRAR-3.12 - Reference Checks & Employment Verification
Employment,HRAR,HRAR-3.13 - Employee Representation
Employment,HRAR,HRAR-3.14 - College Work-Study Program
Employment,HRAR,HRAR-3.15 - Civil Service Board
Employment,HRAR,HRAR-3.16 - Background Investigations
Endangered Species ,ENN,ENN-4.01 - Lower Columbia Steelhead Recovery Plan
Endangered Species ,ENN,ENN-4.02 - Portland Recovery Plan for Salmon and Trout
Energy,ENN,ENN-6.01 - Energy Policy
Energy,ENN,ENN-6.02 - Renewable Fuel Standard (Biofuels)
Equal Employment,HRAR,HRAR-2.01 - Equal Employment Opportunity (EEO)/Affirmative Action
Equal Employment,HRAR,"HRAR-2.02 - Prohibition Against Workplace Harassment, Discrimination and Retaliation"
Equal Employment,HRAR,HRAR-2.03 - Bloodborne Pathogen Exposure and the Workplace
Equal Employment,HRAR,HRAR-2.04 - Gender Identity Non-Discrimination
Equal Employment,HRAR,HRAR-2.05 - Domestic Partners
Equal Employment,HRAR,HRAR-2.06 - Title I Reasonable Accommodations For People With Disabilities
Facilities,ADM,ADM-13.01 - Bureaus to Locate Operations in City Owned Facilities
Facilities,ADM,ADM-13.02 - Disposition of City Real Property
Facilities,ADM,ADM-13.03 - All-User Restrooms
Facilities,ADM,ADM-13.04 - Additional Rule of Conduct Applicable to Identified City Property
Facilities,ART,See Also - ART-3.01 - Prioritize Location Of City Offices And Operations In Historic Buildings 
Fire & Police Disability & Retirement Fund,BHR,BHR-15.01 - FPDR Fund Benefits to Members' Same-Sex Domestic Partners
Fire & Police Disability & Retirement Fund,BHR,"BHR-15.02 - Defense of 2006 Voter-Approved Reforms to the Fire and Police Disability, Retirement, and Death Benefit Plan"
Fire & Police Disability & Retirement Fund,HRAR,"See Also HRAR-6.14 Restoration and Use of Accrued Leave for FPDR Members (PDF document, 33kb)"
Fire & Rescue Administration,FIR,FIR-1.01 - Code Enforcement Policies
Fire & Rescue Administration,FIR,FIR-1.02 - Illegal Residential Occupancy in Commercial Buildings
Fire & Rescue Administration,FIR,FIR-1.03 - Illegal Occupancies
Fire & Rescue Administration,FIR,FIR-1.04 - Fire Watch
Fire & Rescue Administration,FIR,FIR-1.05 - Citations
Fire & Rescue Administration,FIR,FIR-1.06 - Assembly Inspections
Fire & Rescue Administration,FIR,FIR-1.07 - Company Fire Inspection Program
Fire & Rescue Administration,FIR,FIR-1.08 - Administrative Review/Appeals
Fire & Rescue Administration,FIR,FIR-1.10 - Inspection Program Frequency
