id,chapter_id,number,text,name,url
2-08-010,2-08,010, ,2.08.010 Definitions.,/article/13324
2-08-020,2-08,020, ,2.08.020   Applicability of State Law.,/article/13325
2-08-030,2-08,030, ,2.08.030   City Elections Officer.,/article/13326
2-08-040,2-08,040, ,2.08.040   City Offices.,/article/13327
2-08-050,2-08,050, ,2.08.050   Qualifications of Candidates.,/article/13328
2-08-060,2-08,060, ,2.08.060   Filing as a Candidate for Office.,/article/13329
2-08-070,2-08,070, ,2.08.070 Filing by Declaration of Candidacy.,/article/13349
2-08-080,2-08,080, ,2.08.080   Filing by Nominating Petition,/article/13350
2-08-090,2-08,090, ,2.08.090 Withdrawal of Candidate before Certification to County.,/article/13351
2-08-100,2-08,100, ,2.08.100 Register of Candidates for Primary Election.,/article/13352
2-08-110,2-08,110, ,2.08.110 Statement of Candidates & Measures for Primary and General Elections Ballots.,/article/13353
2-08-120,2-08,120, ,2.08.120 Post-Election Procedures for Primary and General Elections,/article/13354
2-08-130,2-08,130, ,2.08.130 Tie Vote.,/article/13355
2-08-140,2-08,140, ,2.08.140 Candidate Elected by Write-in Vote.,/article/13356
2-08-150,2-08,150, ,2.08.150 Withdrawal after Nomination.,/article/13357
2-08-160,2-08,160, ,2.08.160 Filling Vacancy in Nomination.,/article/13358
2-08-170,2-08,170, ,2.08.170 Recall.,/article/13359
2-10-010,2-10,010, ,2.10.010  Contributions in City of Portland Candidate Elections.,/article/711258
2-10-020,2-10,020, ,2.10.020  Expenditures in City of Portland Candidate Elections.,/article/711259
2-10-030,2-10,030, ,2.10.030  Timely Disclosure of Large Contributions and Expenditures.,/article/711260
2-10-040,2-10,040, ,2.10.040  Coordination with Public Funding of Campaigns.,/article/711261
2-10-050,2-10,050, ,2.10.050  Implementation and Enforcement.,/article/711262
2-10-060,2-10,060, ,2.10.060  Adjustments.,/article/711263
2-10-070,2-10,070, ,2.10.070  Severability.,/article/711264
2-10-080,2-10,080, ,2.10.080  Definitions.,/article/711265
2-12-010,2-12,010, ,2.12.010  Purpose.,/article/112289
2-12-020,2-12,020, ,2.12.020  Definitions.,/article/738500
2-12-030,2-12,030, ,2.12.030  Registration for Lobbying Entities.,/article/588625
2-12-040,2-12,040, ,2.12.040  Quarterly Reporting Requirements for Lobbying Entities.,/article/588626
2-12-050,2-12,050, ,2.12.050  Exemptions to Registration and Reporting Requirements for Lobbying Entities.,/article/692743
2-12-060,2-12,060, ,2.12.060 Declaration Required by Lobbyists,/article/112295
2-12-070,2-12,070, ,2.12.070  Reporting Requirements for City Officials.,/article/588627
2-12-080,2-12,080, ,2.12.080  Prohibited Conduct.,/article/588629
2-12-090,2-12,090, ,"2.12.090  Verification of Reports, Registrations and Statements.",/article/167533
2-12-100,2-12,100, ,"2.12.100	 Public Nature of Reports, Registrations and Statements.",/article/461737
2-12-110,2-12,110, ,2.12.110  Auditor’s Duties.,/article/679138
2-12-120,2-12,120, ,2.12.120  Penalties.,/article/679139
2-12-130,2-12,130, ,2.12.130 Severability.,/article/112306
2-14-010,2-14,010, ,2.14.010  Purpose.,/article/578824
2-14-020,2-14,020, ,2.14.020  Definitions.,/article/578825
2-14-030,2-14,030, ,2.14.030  Registration for Political Consultants.,/article/578845
2-14-040,2-14,040, ,2.14.040  Termination of Registration.,/article/578846
2-14-050,2-14,050, ,2.14.050  Quarterly Reporting by City Elected Official.,/article/578847
2-14-060,2-14,060, ,2.14.060  Public Nature of Reports and Registrations.,/article/578848
2-14-070,2-14,070, ,2.14.070  Prohibited Conduct.,/article/578849
2-14-080,2-14,080, ,2.14.080  City Auditor’s Duties.,/article/679140
2-14-090,2-14,090, ,2.14.090  Penalties for Violation of this Chapter.,/article/578851
2-14-100,2-14,100, ,2.14.100  Enforcement.,/article/679142
2-16-005,2-16,005, ,2.16.005  Short Title.,/article/679133
2-16-010,2-16,010, ,2.16.010  Definitions.,/article/734809
2-16-020,2-16,020, ,2.16.020  Open and Accountable Elections Fund Established.,/article/711108
2-16-030,2-16,030, ,"2.16.030  Administrative Rules, Director’s Duties and Authority.",/article/711109
2-16-040,2-16,040, ,2.16.040  Contribution and Expenditure Requirements for Participating and Certified Candidates.,/article/627219
2-16-050,2-16,050, ,2.16.050  Requirements for Certification.,/article/712035
2-16-060,2-16,060, ,2.16.060  Director Determination.,/article/712036
2-16-070,2-16,070, ,2.16.070  Distribution of Public Contribution.,/article/712037
2-16-080,2-16,080, ,2.16.080  Use of Contributions.,/article/734810
2-16-090,2-16,090, ,2.16.090  Adequate Funds.,/article/712039
2-16-100,2-16,100, ,2.16.100  Return of Public Contributions.,/article/712040
2-16-110,2-16,110, ,2.16.110  Withdrawal.,/article/712041
2-16-120,2-16,120, ,2.16.120  Participating and Certified Candidate Restrictions.,/article/711110
2-16-130,2-16,130, ,2.16.130  Open and Accountable Elections Commission.,/article/734811
2-16-140,2-16,140, ,2.16.140  Additional Reporting.,/article/711112
2-16-150,2-16,150, ,2.16.150  Removal of Certain Contribution Limits.,/article/627234
2-16-160,2-16,160, ,"2.16.160  Penalties, Revocation of Certification and Repayment of Funds.",/article/734812
2-16-170,2-16,170, ,2.16.170  Hearings.,/article/734814
2-16-180,2-16,180, ,2.16.180  Implementation.,/article/734815
2-16-190,2-16,190, ,2.16.190  Program Management.,/article/734816
3-02-010,3-02,010, ,3.02.010  Council Meetings. ,/article/232089
3-02-020,3-02,020, ,3.02.020  Special Meetings.,/article/441307
3-02-025,3-02,025, ,3.02.025 Attendance by Electronic Communication.,/article/13377
3-02-030,3-02,030, ,3.02.030  Entry of Documents on Agenda.,/article/666173
3-02-035,3-02,035, ,3.02.035 Ordinance Wording.,/article/13379
3-02-036,3-02,036, ,3.02.036 Consent Agenda.,/article/13380
3-02-037,3-02,037, ,3.02.037  Time Certain Agenda.,/article/320132
3-02-040,3-02,040, ,3.02.040  Rules of the Council.,/article/636383
3-02-050,3-02,050, ,"3.02.050 Authority to Adopt Rules, Procedures and Forms.",/article/26098
3-02-060,3-02,060, ,"3.02.060  Rules of Conduct at City Council Meetings, Ejection and Exclusion.",/article/738502
3-04-010,3-04,010, ,3.04.010  Legislative Subpoena Power.,/article/641656
3-04-020,3-04,020, ,3.04.020  Administering Oaths to Witnesses.,/article/641657
3-04-030,3-04,030, ,3.04.030  Enforcement of Legislative Subpoena.,/article/641658
3-05-010,3-05,010, ,3.05.010  Independence.,/article/679143
3-05-020,3-05,020, ,3.05.020  Scope of Audits.,/article/679144
3-05-030,3-05,030, ,3.05.030  Annual Audit Plan.,/article/679145
3-05-035,3-05,035, ,3.05.035 Special Audits.,/article/14445
3-05-040,3-05,040, ,3.05.040  Access to Information.,/article/679146
3-05-045,3-05,045, ,3.05.045  Confidential Information.,/article/679147
3-05-050,3-05,050, ,3.05.050  Response to Audit.,/article/679148
3-05-060,3-05,060, ,3.05.060  Audit Reports.,/article/679149
3-05-065,3-05,065, ,3.05.065 Report of Irregularities.,/article/14449
3-05-070,3-05,070, ,"3.05.070  Contract Auditors, Consultants, and Experts.",/article/679150
3-05-080,3-05,080, ,3.05.080 External Quality Control Review.,/article/14454
3-06-010,3-06,010, ,3.06.010 Departments Enumerated.,/article/14455
3-06-020,3-06,020, ,3.06.020  Bureaus and Divisions.,/article/14456
3-06-030,3-06,030, ,3.06.030 Acting Chief of Bureau or Office.,/article/14457
3-08-010,3-08,010, ,3.08.010  Office.,/article/502416
3-08-020,3-08,020, ,3.08.020   Salary Bond.  ,/article/348787
3-08-030,3-08,030, ,3.08.030  Duties of City Treasurer.  ,/article/348788
3-08-040,3-08,040, ,3.08.040  Treasurer Authorized to Deposit in Banks.,/article/502417
3-08-050,3-08,050, ,3.08.050  Liability of Treasurer for Deposit of Funds.  ,/article/348790
3-08-060,3-08,060, ,3.08.060  Council May Require Additional Security from Banks.  ,/article/348792
3-08-070,3-08,070, ,3.08.070  City Officers or Agents to Pay Money to the City Treasurer.,/article/502418
3-10-010,3-10,010, ,3.10.010 Office of City Attorney.,/article/14471
3-10-020,3-10,020, ,3.10.020 General Organization.,/article/14472
3-10-030,3-10,030, ,3.10.030  Duties and Responsibilities.,/article/727479
3-10-040,3-10,040, ,3.10.040 Chief Deputy City Attorney.,/article/14475
3-10-050,3-10,050, ,3.10.050 Records.,/article/14476
3-10-060,3-10,060, ,3.10.060  Attorney - Client Relationship.,/article/184165
3-10-070,3-10,070, ,3.10.070 Settlements.,/article/14478
3-10-080,3-10,080, ,3.10.080 Outside Counsel Conflicts of Interest.,/article/14479
3-10-090,3-10,090, ,3.10.090 Indemnities Fund.,/article/14480
3-12-010,3-12,010, ,3.12.010  Organization. ,/article/226987
3-13-010,3-13,010, ,3.13.010 Purpose.,/article/14495
3-13-020,3-13,020, ,3.13.020  Organization.,/article/407808
3-13-030,3-13,030, ,3.13.030 Mission.,/article/14498
3-13-040,3-13,040, ,3.13.040  Administrative Rules and Procedures.,/article/407810
3-13-050,3-13,050, ,3.13.050  Permitting Authority.,/article/512806
3-15-010,3-15,010, ,3.15.010  Purpose.,/article/738507
3-15-020,3-15,020, ,3.15.020  Definitions.,/article/738508
3-15-030,3-15,030, ,3.15.030  Organization.,/article/738509
3-15-040,3-15,040, ,3.15.040  Functions.,/article/738510
3-15-050,3-15,050, ,3.15.050  Powers and Duties of the Chief Administrative Officer.,/article/738511
3-15-060,3-15,060, ,3.15.060  Office of the Chief Administrative Officer.,/article/738512
3-15-070,3-15,070, ,3.15.070  Bureau of Revenue and Financial Services.,/article/738513
3-15-080,3-15,080, ,3.15.080  Bureau of Human Resources.,/article/738514
3-15-090,3-15,090, ,3.15.090  Bureau of Technology Services.,/article/738515
3-16-010,3-16,010, ,3.16.010  Organization.,/article/427158
3-16-020,3-16,020, ,3.16.020  Authority of Council.,/article/427159
3-18-010,3-18,010, ,3.18.010  Designation of Persons-in-Charge.,/article/738516
3-18-020,3-18,020, ,3.18.020  Rules of Conduct at City Property.,/article/641628
3-18-030,3-18,030, ,3.18.030  City Property Exclusions.,/article/636390
3-20-010,3-20,010, ,3.20.010 General Organization.,/article/14644
3-20-020,3-20,020, ,3.20.020 Council to Organize and Make Rules and Regulations.  ,/article/14645
3-20-030,3-20,030, ,3.20.030 Authority of Chief of Police.,/article/14646
3-20-040,3-20,040, ,3.20.040 Duties of the Chief of Police.  ,/article/14647
3-20-050,3-20,050, ,3.20.050 Subordinate Officers.,/article/14648
3-20-070,3-20,070, ,3.20.070 Fees to Be Paid over to Treasurer.,/article/14655
3-20-080,3-20,080, ,3.20.080 Policemen Receiving Gifts and Employing Attorneys -Penalty for Violation.,/article/14667
3-20-110,3-20,110, ,3.20.110 Duties of Police Force.,/article/14668
3-20-120,3-20,120, ,3.20.120 Council in Emergency to Appoint Temporary Policemen.,/article/14669
3-20-130,3-20,130, ,3.20.130 Record of Daily Arrests.,/article/14675
3-20-140,3-20,140, ,3.20.140  Police Review Board.,/article/707196
3-20-150,3-20,150, ,"3.20.150 Fingerprints, Photographs and Records of Identification.",/article/14679
3-20-160,3-20,160, ,3.20.160 Police Chief to Make Rules and Regulations.,/article/14680
3-20-170,3-20,170, ,3.20.170 Uniforms.,/article/14681
3-20-180,3-20,180, ,3.20.180 Appointment and Removal of Police Reserves.,/article/14682
3-20-190,3-20,190, ,"3.20.190 Application, Oath of Office, Compensation and Equipment of Police Reserves.",/article/14683
3-20-200,3-20,200, ,3.20.200 Membership Card and Star of Police Reserves.,/article/14684
3-20-210,3-20,210, ,3.20.210 Police Reserves Exempt from Civil Service.,/article/14687
3-20-230,3-20,230, ,3.20.230 Medical Examinations.,/article/14688
3-20-240,3-20,240, ,3.20.240 Membership.,/article/14689
3-20-250,3-20,250, ,3.20.250 Badges.,/article/14691
3-20-260,3-20,260, ,"3.20.260 Block Home Applicants, Background Investigation Required.",/article/14692
3-20-270,3-20,270, ,3.20.270 Maintenance of Property Room.,/article/14697
3-20-280,3-20,280, ,3.20.280 Receipts for Property.,/article/14699
3-20-290,3-20,290, ,3.20.290 Records.,/article/14700
3-20-300,3-20,300, ,3.20.300 Prisoner’s Property.,/article/14701
3-20-310,3-20,310, ,3.20.310 Evidence Property.,/article/14702
3-20-320,3-20,320, ,3.20.320 Miscellaneous Property and Storage Charges.,/article/14703
3-20-330,3-20,330, ,3.20.330 Storage Charge on Prisoner’s Property.,/article/14704
3-20-340,3-20,340, ,3.20.340 Storage Charge on Evidence Property.,/article/14706
3-20-350,3-20,350, ,3.20.350 Lien and Foreclosure.,/article/14707
3-20-360,3-20,360, ,3.20.360 Fees for Report on Police Records.,/article/14708
3-20-370,3-20,370, ,3.20.370 Accountability and Disposition of Fees.,/article/14709
3-20-380,3-20,380, ,3.20.380 Conveyances Seized for Drug Transport.,/article/14722
3-20-390,3-20,390, ,3.20.390 Multnomah County Deputy Sheriffs Authorized the Arrest or Cite for Violations of City Code Provisions.,/article/14723
3-21-010,3-21,010, ,3.21.010  Purpose.,/article/640396
3-21-020,3-21,020, ,3.21.020  Definitions.,/article/640397
3-21-030,3-21,030, ,3.21.030  Independent Police Review.,/article/640398
3-21-040,3-21,040, ,3.21.040  Director Selection.,/article/679163
3-21-050,3-21,050, ,3.21.050  Staff and Delegation.,/article/479659
3-21-060,3-21,060, ,3.21.060  Office Facilities and Administration.,/article/679204
3-21-070,3-21,070, ,3.21.070  Powers and Duties of IPR.,/article/679164
3-21-080,3-21,080, ,3.21.080  Citizen Review Committee.,/article/692745
3-21-090,3-21,090, ,3.21.090  Powers and Duties of the Committee.,/article/379528
3-21-100,3-21,100, ,3.21.100  Council Role.,/article/14734
3-21-110,3-21,110, ,3.21.110  Intake.,/article/679165
3-21-120,3-21,120, ,3.21.120  Handling Complaints.,/article/655751
3-21-130,3-21,130, ,3.21.130 Communications,/article/14737
3-21-140,3-21,140, ,3.21.140	Filing of requests for review.,/article/535114
3-21-150,3-21,150, ,3.21.150  Case File Review.,/article/640407
3-21-160,3-21,160, ,3.21.160  Hearing Appeals.,/article/655752
3-21-170,3-21,170, ,3.21.170  Monitoring and Reporting,/article/184174
3-21-180,3-21,180, ,3.21.180    Increasing Public Access,/article/479683
3-21-190,3-21,190, ,3.21.190  Response of Chief.,/article/479685
3-21-200,3-21,200, ,3.21.200 Limitation on Power.,/article/14744
3-21-210,3-21,210, ,3.21.210  Subpoenas.,/article/479686
3-21-220,3-21,220, ,3.21.220   Bureau Witnesses.,/article/479688
3-22-010,3-22,010, ,3.22.010  General Organization. ,/article/210477
3-22-020,3-22,020, ,3.22.020  Organized by Council - Subject to Civil Service.,/article/156975
3-22-030,3-22,030, ,3.22.030  Council Powers.,/article/156977
3-22-040,3-22,040, ,3.22.040  Care of Property by Council.,/article/156978
3-22-050,3-22,050, ,3.22.050  Duties of Chief Engineer.,/article/156979
3-22-060,3-22,060, ,3.22.060 Destroying Buildings to Check Fire.,/article/14750
3-22-070,3-22,070, ,3.22.070 Appointment of Temporary Employees.,/article/14751
3-22-080,3-22,080, ,3.22.080 Assignments of Disabled Members.,/article/14752
3-22-090,3-22,090, ,3.22.090  Rules and Regulations and Administrative Orders.,/article/156980
3-22-100,3-22,100, ,3.22.100  Uniforms.,/article/156981
3-22-110,3-22,110, ,3.22.110  Fire Prevention and Suppression Contracts.,/article/156982
3-22-120,3-22,120, ,3.22.120 Renewal Notices.,/article/14756
3-22-130,3-22,130, ,3.22.130 Contract Form to be Approved by City Attorney.,/article/14757
3-22-140,3-22,140, ,3.22.140  Mutual Assistance Agreements.,/article/156983
3-22-150,3-22,150, ,3.22.150  Use of Fire Boats for Pumping Water Out of Boats and Barges.,/article/156984
3-22-160,3-22,160, ,3.22.160  Fees for Pumping Water from Imperiled Vessels.,/article/156985
3-22-170,3-22,170, ,3.22.170  Distribution of Awards Earned by Members of Portland Fire & Rescue.,/article/156986
3-22-180,3-22,180, ,3.22.180  Forested and Wildland Interface Areas Fire Protection Plan.,/article/226988
3-24-010,3-24,010, ,3.24.010  Organization. ,/article/207375
3-24-020,3-24,020, ,3.24.020  Administration.,/article/207384
3-24-030,3-24,030, ,3.24.030  Customer Service Group.,/article/207385
3-24-040,3-24,040, ,3.24.040  Engineering Services Group.  ,/article/207387
3-24-050,3-24,050, ,3.24.050  Finance and Support Services Group.  ,/article/207389
3-24-060,3-24,060, ,3.24.060  Maintenance and Construction Group. ,/article/207390
3-24-070,3-24,070, ,3.24.070  Operations Group.,/article/207391
3-24-080,3-24,080, ,3.24.080  Resources Protection and Planning Group.,/article/207392
3-26-010,3-26,010, ,3.26.010  Organization Generally.,/article/14769
3-26-020,3-26,020, ,3.26.020  Executive and Clerical Division.,/article/14770
3-26-030,3-26,030, ,3.26.030  Park Maintenance and Operation Division.,/article/14771
3-26-040,3-26,040, ,3.26.040  Nursery and Planting Division.,/article/514489
3-26-050,3-26,050, ,3.26.050  Public Recreation Division.,/article/14773
3-26-060,3-26,060, ,3.26.060 Municipal Stadium Division.,/article/412574
3-26-080,3-26,080, ,"3.26.080  Sale or Exchange of Surplus Animals, Birds or Reptiles.",/article/14775
3-26-090,3-26,090, ,3.26.090  Solar Friendly Trees.,/article/514490
3-27-010,3-27,010, ,3.27.010 Purpose.,/article/14778
3-27-020,3-27,020, ,3.27.020 Definitions.,/article/14779
3-27-030,3-27,030, ,3.27.030  Members and Terms.,/article/354334
3-27-040,3-27,040, ,3.27.040 Organization and Meetings.,/article/14781
3-27-050,3-27,050, ,3.27.050 Duties.,/article/14782
3-27-060,3-27,060, ,3.27.060 Staff Liaison and Support.,/article/14783
3-28-010,3-28,010, ,3.28.010  Transfer of Functions.,/article/14784
3-28-020,3-28,020, ,3.28.020  Executive and Clerical Division.,/article/14785
3-28-030,3-28,030, ,3.28.030  Communicable Disease Control Division.,/article/14786
3-28-040,3-28,040, ,3.28.040  Tuberculosis Control Division.,/article/14787
3-28-050,3-28,050, ,3.28.050  Venereal Disease Control Division.,/article/14788
3-28-060,3-28,060, ,3.28.060  Laboratory Division.,/article/14789
3-28-070,3-28,070, ,3.28.070 School Hygiene Division.,/article/14790
3-28-080,3-28,080, ,3.28.080  Emergency Hospital Division.,/article/14791
3-28-090,3-28,090, ,3.28.090  Pure Food Sanitation Division.,/article/14792
3-28-100,3-28,100, ,3.28.100  Division of Mental Health.,/article/14793
3-28-110,3-28,110, ,3.28.110  Division of Home Health Care.,/article/14794
3-30-005,3-30,005, ,3.30.005 Organization.,/article/14796
3-30-010,3-30,010, ,3.30.010  Duties of the Bureau of Development Services.,/article/514491
3-30-020,3-30,020, ,3.30.020 Responsibility for the Development Services Center and Development Review.,/article/14798
3-30-030,3-30,030, ,3.30.030 Development Review Advisory Committee.,/article/330920
3-30-040,3-30,040, ,3.30.040  Administration and Enforcement.,/article/725706
3-30-045,3-30,045, ,3.30.045  Administrative Rulemaking Procedures.,/article/692747
3-30-050,3-30,050, ,3.30.050  Special Jurisdiction.,/article/224027
3-30-060,3-30,060, ,3.30.060 Nuisance Abatement Contracts.,/article/14802
3-30-070,3-30,070, ,3.30.070 Inspections,/article/14803
3-30-080,3-30,080, ,3.30.080  Stop Work Orders.,/article/557575
3-33-010,3-33,010, ,3.33.010  Purpose. ,/article/247018
3-33-020,3-33,020, ,3.33.020   Organization. ,/article/247019
3-33-030,3-33,030, ,3.33.030  Functions.,/article/670182
3-36-010,3-36,010, ,3.36.010  Purpose.,/article/451758
3-36-020,3-36,020, ,3.36.020  Organization.,/article/451759
3-36-030,3-36,030, ,3.36.030  Functions.,/article/451760
3-38-010,3-38,010, ,3.38.010  PHAC Established. ,/article/337445
3-38-020,3-38,020, ,3.38.020  PHAC Mission. ,/article/337446
3-38-030,3-38,030, ,3.38.030  Duties.,/article/337450
3-38-040,3-38,040, ,3.38.040  Membership.,/article/337451
3-38-050,3-38,050, ,3.38.050  Staffing. ,/article/337453
3-38-060,3-38,060, ,3.38.060  Consolidated Plan Consortium.,/article/337454
3-38-070,3-38,070, ,3.38.070  Cooperation.,/article/337455
3-46-010,3-46,010, ,3.46.010  County to Perform Duties.  ,/article/14817
3-54-010,3-54,010, ,3.54.010  Definitions.,/article/14896
3-54-020,3-54,020, ,3.54.020  OMF Risk Management Division Responsibility and Authority.,/article/184175
3-54-030,3-54,030, ,3.54.030  Bureau Responsibility and Authority.,/article/184176
3-54-040,3-54,040, ,3.54.040   Loss Control and Prevention Advisory Committee - Responsibility and Authority.,/article/184177
3-62-010,3-62,010, ,3.62.010  Certain City Officials to Render Certain Services.,/article/14905
3-67-010,3-67,010, ,3.67.010 Creation and Organization.,/article/14909
3-67-020,3-67,020, ,3.67.020  Procedure and Rules of Committee.,/article/14910
3-67-030,3-67,030, ,3.67.030  Duties.,/article/14911
3-68-010,3-68,010, ,3.68.010  Created.,/article/14912
3-68-020,3-68,020, ,3.68.020 Powers and Duties.,/article/14913
3-68-030,3-68,030, ,3.68.030 Meetings.,/article/14914
3-68-040,3-68,040, ,3.68.040  Officers.,/article/14915
3-68-050,3-68,050, ,3.68.050  Rules - Quorum.,/article/14916
3-68-060,3-68,060, ,3.68.060  Vacancy - Removal.,/article/14917
3-70-010,3-70,010, ,3.70.010 Created - Terms.,/article/14939
3-70-020,3-70,020, ,3.70.020 Powers and Duties.,/article/14940
3-70-030,3-70,030, ,3.70.030 Special Committees and Services.,/article/14941
3-70-040,3-70,040, ,3.70.040 Meetings.,/article/14942
3-70-050,3-70,050, ,3.70.050 Officers.,/article/14944
3-70-060,3-70,060, ,3.70.060 Rules - Quorum.,/article/14945
3-70-070,3-70,070, ,3.70.070 Vacancy.,/article/14946
3-72-010,3-72,010, ,3.72.010 Created - Members - Meetings.,/article/14948
3-72-020,3-72,020, ,3.72.020 Presentation of Claims.,/article/14949
3-72-030,3-72,030, ,3.72.030 Consideration of Claims Not Covered by Insurance.,/article/14950
3-72-040,3-72,040, ,3.72.040 Claims Covered by Insurance.,/article/14951
3-74-010,3-74,010, ,3.74.010  Persons Required to Take Oath.,/article/157136
3-74-020,3-74,020, ,"3.74.020  Form of Oath for Mayor, Commissioner, and Auditor.",/article/157138
3-74-030,3-74,030, ,3.74.030  Form of Oath for Other Officer or Employee.,/article/14962
3-76-010,3-76,010, ,3.76.010   Definitions.,/article/243303
3-76-020,3-76,020, ,3.76.020  Purpose.  ,/article/243304
3-76-030,3-76,030, ,3.76.030  Archives and Records Management Program Creation and Administration. ,/article/243305
3-76-040,3-76,040, ,3.76.040   Authority and Duties of the Archives and Records Management Program.,/article/243313
3-76-050,3-76,050, ,3.76.050   Duties of Elected Officials and the Managers of City Agencies.,/article/243315
3-76-060,3-76,060, ,3.76.060   Care of Records.  ,/article/243317
3-76-070,3-76,070, ,3.76.070   Destruction of Records.  ,/article/243318
3-76-080,3-76,080, ,3.76.080   Use of Copies.,/article/243319
3-76-090,3-76,090, ,3.76.090   Public Access to Records.  ,/article/243320
3-77-010,3-77,010, ,3.77.010  Purpose.,/article/679166
3-77-020,3-77,020, ,3.77.020  Definitions.,/article/679167
3-77-030,3-77,030, ,3.77.030  Office of the Ombudsman.,/article/679168
3-77-040,3-77,040, ,3.77.040  Ombudsman Selection.,/article/679169
3-77-050,3-77,050, ,3.77.050  Qualifications and Prohibitions.,/article/679170
