id,article_id,number,title,TEXT,URL
1-203,1-2,203,Section 1-203 Boundary Changes.,"<p>Within ten (10) days after the effective date of any annexation or ten (10) days after the proclamation of results of any election on merger or consolidation, if such merger or consolidation is successful, the Council shall adopt a resolution describing the new boundaries, certified copies of which shall be filed as set forth in Section 1-201 of this Charter. [Ch. 1903, sec. 17; rev. 1914 sec. 14; 1928 pub., sec. 14; 1942 recod., sec. 1-206; rev. May 18, 1962.]</p>",/citycode/article/13466
2-101,2-1,101,Section 2-101 Municipal Powers Vested in Council.,"<p>The power and authority given to the municipal corporation of the City of Portland hereby is vested in a Council, subject to the initiative and referendum and other powers reserved to the people by the constitution of the State of Oregon as defined and prescribed by the provisions of the constitution and general laws relating thereto, and by the provisions of this Charter. [May 3, 1913, new sec. 6; rev. 1914, sec. 20; 1928 pub., sec 20; 1942 recod., sec. 2-101; am. Nov. 6, 1962.]</p>",/citycode/article/13467
2-102,2-1,102,Section 2-102 City Council.,"<p>The City Council of the City of Portland shall consist of a Mayor and four (4) Commissioners. [1942 recod., sec. 2-101; rev. Nov. 6, 1962.]</p>",/citycode/article/13468
2-103,2-1,103,Section 2-103 Boards and Commissions.,"<p>The Council may create and establish such boards and commissions as it may deem necessary in addition to boards and commissions established by this Charter, and may abolish or alter from time to time any boards or commissions it has established or may establish. All powers and duties of abolished boards and commissions shall be exercised and performed by the Council. [1942 recod., sec. 2-102; sec. 2-103; am. Nov. 6, 1962.]</p>",/citycode/article/13470
2-104,2-1,104,Section 2-104 General Powers.,"<p>The Council shall have and exercise all powers and authority conferred upon the City of Portland by this Charter or by general law, except where such power is herein expressly bestowed upon some other officer, board or commission to the exclusion of the Council. The Council may delegate any of its nonlegislative functions or powers to subordinate officers, boards or commissions as it may find appropriate. [May 3, 1913, part of new sec. 56; rev. 1914, sec. 18; 1928 pub., sec. 18; 1942 recod., sec. 2-104; am. Nov. 6, 1962.]</p>",/citycode/article/13471
2-106,2-1,106,Section 2-106 Enumeration of Powers not a Limitation.,"<p>The foregoing or other enumeration of particular powers granted to the Council in this Charter shall not be construed to impair any grant of power herein contained, express or implied, nor to limit any such general grant to powers of the same class or classes as those so enumerated. The City Council may exercise any power or authority granted by Oregon statute to municipal corporations at any time and also to cities of a class which includes the City of Portland. [Ch. 1903, sec. 74; rev. 1914, sec. 36; 1928 pub., sec. 36; 1942 recod., sec. 2-120; rev. Nov. 6, 1962.]</p>",/citycode/article/13476
2-107,2-1,107,Section 2-107 Punishment for Ordinance Violations.,"<p>The Council has power and authority, subject to the provisions, limitations and restrictions contained in this Charter, to provide for the punishment of a violation of any ordinance of the City by a fine or by imprisonment, or by both. Such imprisonment shall be for a term not exceeding six (6) months. In addition to the foregoing penalties, forfeiture of property or license of any kind may be provided. The limitations as to length of sentence contained in this Section shall not apply to any offense for which different limitations are fixed elsewhere in this Charter. [Ch. 1903 subdn. 3, sec. 73; rev. May 3, 1913, effective in July; new sec. June 2, 1913; subdn. 3, sec. 73; rev. 1914; sec. 35; 1928 pub., sec. 35; 1942 recod., sec. 2-106; rev. Nov. 6, 1962; am. Dec. 14, 1971; am. May 20, 1980.]</p>",/citycode/article/13477
2-109,2-1,109,Section 2-109 Investigations.,"<p id=""elStart"">The Council, or a committee of the Council duly authorized by it, may investigate any board or department of the City government, and the official acts and conduct of any City officer, employee, or agent; and for the purpose of ascertaining facts in connection with such investigation, shall have full power to compel the attendance and testimony of witnesses, to administer oaths, and to examine such persons as it may deem necessary, and to compel the production of books, documents, and other evidence. Willful false swearing in such investigations and examinations shall be perjury, and punishable as such under the laws of the State of Oregon. [Ch. 1903, sec.47; rev. 1914, sec. 32; 1928 pub., sec. 32; 1942 recod., sec. 2-118; rev. Nov. 6, 1962.]</p>",/citycode/article/13479
2-110,2-1,110,Section 2-110 Organization.,"<p>At its first regular meeting each calendar year, or oftener at its option, the Council shall elect a President by majority vote. The Mayor shall preside at all meetings of the Council. In the Mayor's absence or disability, the President of the Council shall perform the duties of the Mayor. In the absence or disability of both President and Mayor, the other members of the Council shall select one of their number to perform the duties of President and Mayor during such absence. [May 3, 1913, new sec. 35; rev. 1914, sec. 37; 1928 pub., sec. 37; 1942 recod., sec. 2-121; rev. Nov. 6, 1962.]</p>",/citycode/article/13480
2-111,2-1,111,Section 2-111 Rules of Procedure.,"<p><strong></strong>The Council shall determine its own rules of procedure, may punish its members for disorderly conduct, and may compel the attendance of members. [May 3, 1913, new sec. 19; rev. 1914, sec. 41; 1928 pub., sec. 41; 1942 recod., sec. 2-122; am. Nov. 6, 1962.]</p>",/citycode/article/13481
2-112,2-1,112,Section 2-112 Meetings and Journal.,"<p>All regular and special meetings of the Council shall be public. It shall hold one regular legislative meeting each week, and such other meetings as it may prescribe. The Council shall keep a journal of its proceedings which shall be a public record. [May 3, 1913, new sec. 20; rev. 1914, sec. 42; 1928 pub., sec. 42; 1942 recod., sec. 2-123; rev. Nov. 6, 1962.]</p>",/citycode/article/13482
2-113,2-1,113,Section 2-113 Calendar.,"<p>The Auditor shall produce for distribution at least twenty-four (24) hours before each legislative session a summary of all matters to come before the Council at the next regular legislative session. Only matters contained in said summary shall be considered at such legislative session unless four (4) members of the Council shall vote to consider otherwise. [May 3, 1913, new sec. 30; rev. 1914, sec. 38; 1928 pub., sec. 38; 1942 recod., sec. 2-124; rev. Nov. 6, 1962; am. May 19, 1994.]</p>",/citycode/article/13483
2-114,2-1,114,Section 2-114 Quorum.,"<p>At any meeting of the Council a majority of the total number shall constitute a quorum, but a lesser number may adjourn or recess from time to time, and may compel the attendance of absent members. [May 3, 1913, new sec. 21; rev. 1914, sec. 43; 1928 pub., sec. 43; 1942 recod., sec. 2-125; rev. Nov. 6, 1962.]</p>",/citycode/article/13484
2-115,2-1,115,Section 2-115 Privilege in Debate.,"<p>A member of the Council for words uttered in debate therein shall not be questioned in any other place. [May 3, 1913, new sec. 32; rev. 1914, sec. 40; 1928 pub., sec. 40; 1942 recod., sec. 2-126; rev. Nov. 6, 1962.]</p>",/citycode/article/13485
2-116,2-1,116,Section 2-116 Aye and Nay Vote.,"<p>Upon the request of any member the ayes and nays shall be taken and recorded upon any action or resolution. [May 3, 1913, new sec. 31; rev. 1914, sec. 39; 1928 pub., sec. 39; 1942 recod., sec. 2-127; rev. Nov. 6, 1962.]</p>",/citycode/article/13486
2-117,2-1,117,Section 2-117 Transaction of Business.,"<p>In the transaction of legislative or judicial business the Council shall act only by the ordinance. The ayes and nays shall be taken upon the passage of all ordinances and entered upon the journal of the proceedings of the Council. Every member when present must vote, unless the remainder of the Council approves the member's excuse for disqualification, and every ordinance shall require the affirmative vote of three (3) members. [May 3, 1913, new sec. 22; rev. 1914, sec. 44; 1928 pub., sec. 44; 1942 recod., sec. 2-128; rev. Nov. 6, 1962.]</p>",/citycode/article/13487
2-118,2-1,118,"Section 2-118 Ordinances, Subject.","<p>No ordinance, except one making an appropriation, shall contain more than one general subject; ordinances making appropriations shall be confined to the subject of appropriations. [May 3, 1913, new sec. 23; rev. 1914, sec. 45; 1928 pub., sec. 45; 1942 recod., sec. 2-129; rev. Nov. 6, 1962.]</p>",/citycode/article/13488
2-119,2-1,119,"Section 2-119 Ordinances, Enacting Clause.","<p>The enacting clause of all ordinances shall be the words ""The City of Portland ordains."" [May 3, 1913, new sec. 24; rev. 1914, sec. 46; 1928 pub., sec. 46; 1942 recod., sec. 2-130; rev. Nov. 6, 1962.]</p>",/citycode/article/13489
2-120,2-1,120,"Section 2-120 Ordinances, Passage.","<p>Every ordinance except an emergency ordinance shall have two (2) public readings of its title or the effect thereof. At least five (5) days shall elapse between the introduction and final passage of any ordinance and no ordinance shall be amended within five (5) days of its final passage except in the case of an emergency ordinance. An emergency ordinance shall have one public reading of its title or the effect thereof and may be enacted upon the date of its introduction, providing that it contains the statement that an emergency exists and specifies with distinctness the facts or reasons constituting such emergency. The unanimous vote of all members of the Council present, and of not less than four (4) members shall be required to pass an emergency ordinance. [May 3, 1913, new sec. 25; rev. 1914, sec. 47; 1928 pub., sec. 47; 1942 recod., sec. 2-131; rev. Nov. 6, 1962; am. May 20, 1980.]</p>",/citycode/article/13490
2-121,2-1,121,"Section 2-121 Ordinances, Amendments and Repeals.","<p>Amendments or repeals of ordinances, or sections thereof, shall also be by ordinance. [May 3, 1913, new sec. 28; rev. 1914, sec. 50; 1928 pub., sec. 50; 1942 recod., sec. 2-132; rev. Nov. 6, 1962.]</p>",/citycode/article/13491
2-122,2-1,122,"Section 2-122 Ordinances, Attestation.","<p>An ordinance when passed by the Council shall be signed by the Auditor. It shall be carefully filed and preserved in the custody of the Auditor. [May 3, 1913, part of new sec. 29; rev. 1914, sec. 51; 1928 pub., sec. 51; 1942 recod., sec. 2-133; rev. Nov. 6, 1962; am. May 20, 1980; am. May 18, 1994.]</p>",/citycode/article/13492
2-123,2-1,123,"Section 2-123 Ordinances, Effective Date.","<p>Ordinances (a) making appropriations and the annual tax levy, (b) relative to local improvements and assessments thereof, and (c) emergency ordinances, shall take effect immediately upon their passage, or any special date less than thirty (30) days after passage, specifically fixed in such ordinance. All other ordinances enacted by the Council shall take effect thirty (30) days after their passage unless a later date is fixed therein, in which event they shall take effect at such later date, subject to referendum if legislative, and subject to the provisions of this Charter relating to objections. [May 3, 1913, new sec. 26; rev. 1914, sec. 48; 1928 pub., sec. 48, 1942 recod., sec. 2-134. rev. Nov. 6, 1962.]</p>",/citycode/article/13493
2-124,2-1,124,"Section 2-124 Ordinances, Objections.","<p>At any time within ten (10) days after the passage of any ordinance which shall not take effect immediately, any member of the Council may file, in writing, objections to said ordinance, which shall be considered and voted upon by the Council at its next regular meeting. If a majority shall vote to sustain such objections, the ordinance shall be deemed repealed and shall not take effect unless again passed in the same manner as a new ordinance. If a majority shall vote not to sustain such objections, the same shall have no effect on the ordinance. The objections, together with the vote thereon, shall be preserved on record. [May 3, 1913, part of new sec. 29; rev. 1914, sec. 52; 1928 pub., sec. 52; 1942 recod., sec. 2-135; rev. Nov. 6, 1962.]</p>",/citycode/article/13494
2-125,2-1,125,"Section 2-125 Ordinances, Continuance of Existing.","<p>All existing ordinances of the City of Portland, in force when this Charter revision takes effect and not inconsistent herewith, or constituting a contract between the City and another person, shall be and remain in full force until repealed or until they expire by limitation contained therein. [Ch. 1903, sec. 52; rev. 1914, sec. 53; 1928 pub., sec. 53; 1942 recod., sec. 2-136; rev. Nov. 6, 1962.]</p>",/citycode/article/13495
2-126,2-1,126,Section 2-126 Promotion of Industry.,"<p>The City Council shall have authority to promote industrial growth and assist in securing additional business and industry within the City, and to that end the Council may make appropriations and expenditures from the General Fund for advertising the advantages of the City, for assisting private industry and business enterprises in obtaining contracts or business, for assisting new business or industry to find locations in or adjacent to the City, and for such other promotional activities as the Council may find appropriate. The Council may cooperate with any non-profit organization or other governmental agency in carrying out the purposes of this Section. [May 16, 1952, sec. 2-137, new sec.; rev. Nov. 6, 1962.]</p>",/citycode/article/13496
2-127,2-1,127,Section 2-127 Consent Agenda.,"<p>Notwithstanding the provisions of Sections 2-116, 2-117, and 2-120 of this Charter, the Council by rule may publish a procedure under which any ordinance, resolution or other action may be placed on a consent agenda. At any meeting at which there is a consent agenda on the calendar, the ayes and nays shall be taken upon the passage of all items on the consent agenda by a single Council vote. It shall not be necessary that there be a reading or readings of the titles or the effect of the items on a consent agenda or that time elapse between the introduction and final passage of the items. The unanimous vote of all members of the Council present, and of not less than four (4) members, shall be required to pass a consent agenda. All items to be contained in a consent agenda shall be so listed in the summary of matters to come before the Council prepared under Section 2-113 of this Charter. Items on a consent agenda shall not be subject to amendment or debate. Any item shall be removed from a consent agenda on the request of a Council member, or on the request of any person who wished to be heard on the item, provided the request is made prior to taking the ayes and nays on the consent agenda. An item so removed from a consent agenda shall be treated as a regular calendar item for the meeting for which it was on the consent agenda. [May 20, 1980.]</p>",/citycode/article/13498
2-108,2-1,108,Section 2-108  Emergency Fund.,"<p>There shall be annually appropriated and set apart the sum of five thousand dollars ($5,000) to be known as the Emergency Fund of the Council and the Council may use and expend such Fund, or any part thereof, in its discretion for any purpose it may deem proper or advantageous to the public welfare.&nbsp; No part of such Fund shall be used as compensation or additional salary or for the personal benefit of the Mayor or any Commissioner.&nbsp; [May 3, 1913, new sec. 33; rev. 1914, sec. 31; 1928 pub., sec. 31; 1942 recod., sec. 2&#8209;117; rev. Nov. 6, 1962; amended May 15, 2012, effective June 13, 2012.]</p>",/citycode/article/403289
