CATEGORY_NAME,CONTENT_ID,DEPTH,END_DATE,EVENT_NAME,EVENT_TYPE_NAME,EXPIRE_DATE,LAST_UPDATED_DATE,LENGTH,LOCATION,PUBLISH_DATE,START_DATE,STATUS,SUMMARY_TEXT,TEXT,URL,NEIGHBORHOOD
SW Events,767989,2,2021-05-14 03:00:00 UTC,Marshall Park Neighborhood Association,Neighborhood/Business Association Meeting,,2020-11-01 23:27:24 UTC,,Virtual - see swni.org/calendar for details,,2021-05-14 01:00:00 UTC,A,"Contact Mike Charles, marshallparkchair@swni.org. Website: https://swni.org/marshallpark",,https://www.portlandoregon.gov/civic/article/767989,Marshall Park
NW and Inner SW Events,778832,2,2021-05-14 03:00:00 UTC,Pearl District Board Meeting,Neighborhood/Business Association Meeting,,2020-11-25 02:58:53 UTC,,,,2021-05-14 01:00:00 UTC,A,,<p>contact for meeting access communications@pearldistrict.org&nbsp;</p>,https://www.portlandoregon.gov/civic/article/778832,Pearl District
SE Events,755610,2,2021-05-14 04:00:00 UTC,Buckman NA Meeting,Meetings,,2020-03-04 23:21:33 UTC,,Multnomah County Boardroom (501 SE Hawthorne Blvd),,2021-05-14 02:00:00 UTC,A,,"<p>The Buckman Neighborhood Association meetings take place on the second Thursday of every month (unless otherwise noted).</p>
<p>The board meeting goes from 6:20-7:00pm, and the general meeting runs from 7:00-9:00pm. Both meetings are open to anyone interested in attending.</p>",https://www.portlandoregon.gov/civic/article/755610,Buckman
SE Events,755663,2,2021-05-14 04:00:00 UTC,Sunnyside NA Board Meeting,Meetings,,2020-03-04 23:23:50 UTC,,SE Uplift 3534 SE Main St. Portland OR 97214,,2021-05-14 02:00:00 UTC,A,,"<p>The Sunnyside Neighborhood Association meets on the second Thursday of the month at 7:30 PM, SE Uplift, 3534 SE Main.</p>",https://www.portlandoregon.gov/civic/article/755663,Sunnyside
SW Events,765774,2,2021-05-14 03:30:00 UTC,West Portland Park Neighborhood Association,Neighborhood/Business Association Meeting,,2020-09-06 16:11:10 UTC,,Virtual - see swni.org/calendar for details,,2021-05-14 02:00:00 UTC,A,"Contact Javier Moncada, wppna-president@swni.org Website: http://swni.org/w_portland_park",,https://www.portlandoregon.gov/civic/article/765774,West Portland Park
SW Events,765784,2,2021-05-14 03:00:00 UTC,South Burlingame Neighborhood Association,Neighborhood/Business Association Meeting,,2021-04-13 22:13:15 UTC,,Virtual - see southburlingamena.org website for details,2021-04-06 14:27:00 UTC,2021-05-14 02:00:00 UTC,A,"The May 13th Annual Meeting includes Board Elections and a vote on a proposed update to the Bylaws. Contact Shannon Hiller-Webb, president@southburlingamena.org. Visit southburlingamena.org.",,https://www.portlandoregon.gov/civic/article/765784,South Burlingame
SW Events,765825,2,2021-05-18 03:00:00 UTC,"Southwest Neighborhoods, Inc. Transportation Committee",Neighborhood/Business Association Meeting,,2020-11-01 00:57:18 UTC,,"Virtual - see swni.org/calendar for details, https://swni.org/transportation-committee",2020-11-01 00:57:18 UTC,2021-05-18 02:00:00 UTC,A,"Contact Katherine Christensen, transportation-chair@swni.org. Website: https://swni.org/transportation-committee",,https://www.portlandoregon.gov/civic/article/765825,Southwest
Inner NE Events,781847,2,2021-05-18 03:30:00 UTC,Eliot Neighborhood Association Meeting,Community Events,,2021-03-03 22:03:50 UTC,,,,2021-05-18 02:00:00 UTC,A,Eliot Neighborhood Association Meeting,<p>Please visit&nbsp;eliotneighborhood.org for zoom links/ meeting location.</p>,https://www.portlandoregon.gov/civic/article/781847,Eliot
NW and Inner SW Events,778856,2,2021-05-19 02:30:00 UTC,Pearl District Land Use & Transportation Meeting,Land Use Planning,,2020-11-25 03:03:48 UTC,,,,2021-05-19 01:00:00 UTC,A,,,https://www.portlandoregon.gov/civic/article/778856,Pearl District
SE Events,755726,2,2021-05-19 03:30:00 UTC,North Tabor NA General Meeting,Meetings,,2020-03-04 23:32:20 UTC,,"5600 NE Glisan St, Portland, OR 97213, USA",,2021-05-19 01:30:00 UTC,A,,"<p>The North Tabor Neighborhood Association meets on the third Tuesday of the month at 7 PM, 5600 NE Glisan.</p>",https://www.portlandoregon.gov/civic/article/755726,North Tabor
NW and Inner SW Events,778955,2,2021-05-19 03:00:00 UTC,Sylvan-Highlands NA Board Meeting,Neighborhood/Business Association Meeting,,2020-11-26 01:07:11 UTC,,,,2021-05-19 01:30:00 UTC,A,,,https://www.portlandoregon.gov/civic/article/778955,Sylvan-Highlands
SW Events,779840,2,2021-05-19 02:30:00 UTC,"Southwest Neighborhoods, Inc. Land Use Committee",Neighborhood/Business Association Meeting,,2021-01-04 19:29:19 UTC,,Virtual - see swni.org/calendar for details,,2021-05-19 01:30:00 UTC,A,"Contact Gary Runde, land-use-cahir@swni.org. Website: https://swni.org/land-use-committee",,https://www.portlandoregon.gov/civic/article/779840,Southwest
Central NE Events,707436,2,2021-05-19 04:00:00 UTC,Grant Park Neighborhood Association (GPNA) General Meeting,Neighborhood/Business Association Meeting,,2021-01-28 21:38:12 UTC,,Grant Park Church 2728 NE 34th Ave,,2021-05-19 02:00:00 UTC,A,,,https://www.portlandoregon.gov/civic/article/707436,Grant Park
NW and Inner SW Events,778610,2,2021-05-19 04:00:00 UTC,Forest Park NA Board Meeting,Neighborhood/Business Association Meeting,,2020-11-19 01:40:58 UTC,,virtual,,2021-05-19 02:00:00 UTC,A,,"<p>virtual meeting, contact <a href=""mailto:president@forestparkneighbors.org"">president@forestparkneighbors.org</a>&nbsp;for meeting access</p>",https://www.portlandoregon.gov/civic/article/778610,Forest Park
Central NE Events,780528,2,2021-05-19 03:30:00 UTC,Sumner Association of Neighbors (SAN) General Meeting,Neighborhood/Business Association Meeting,,2021-01-28 21:34:47 UTC,,4415 NE 87th Ave,2021-01-27 23:13:00 UTC,2021-05-19 02:00:00 UTC,A,,,https://www.portlandoregon.gov/civic/article/780528,Sumner
Central NE Events,780773,2,2021-05-19 04:00:00 UTC,Cully Association of Neighbors (CAN) Land Use Meeting,Neighborhood/Business Association Meeting,,2021-02-01 21:51:30 UTC,,,2021-02-01 21:50:00 UTC,2021-05-19 02:00:00 UTC,A,,,https://www.portlandoregon.gov/civic/article/780773,Cully
SW Events,779850,2,2021-05-19 21:00:00 UTC,"Southwest Neighborhoods, Inc. Finance committee",Neighborhood/Business Association Meeting,,2021-01-04 20:23:34 UTC,,Virtual - see swni.org/calendar for details,,2021-05-19 20:00:00 UTC,A,"Contact Teddy Okonokhua, treasurer@swni.org. Website: https://swni.org/board",,https://www.portlandoregon.gov/civic/article/779850,Southwest
NW and Inner SW Events,778820,2,2021-05-20 00:00:00 UTC,"Old Town Land Use Committee Meeting ",Land Use Planning,,2020-11-25 03:05:05 UTC,,,2020-11-25 03:05:05 UTC,2021-05-19 22:30:00 UTC,A,,<p>contact for meeting access planning@pdxoldtown.org&nbsp;</p>,https://www.portlandoregon.gov/civic/article/778820,Old Town
SE Events,755797,2,2021-05-20 04:00:00 UTC,Mt. Tabor NA General Meeting,Meetings,,2020-03-05 00:06:48 UTC,,"Presbyterian Church, 5441 SE Belmont",,2021-05-20 02:00:00 UTC,A,,<p>Mt Tabor neighborhood association general meeting. No meetings in December.</p>,https://www.portlandoregon.gov/civic/article/755797,Mt. Tabor
SW Events,765814,2,2021-05-20 03:00:00 UTC,Southwest Hills Residential League,Neighborhood/Business Association Meeting,,2020-09-06 16:36:01 UTC,,Virtual - see swni.org/calendar for details,,2021-05-20 02:00:00 UTC,A,"Contact John Neumann, president@swhrl.org. Website: swhrl.org",,https://www.portlandoregon.gov/civic/article/765814,Southwest Hills
SW Events,779860,2,2021-05-20 04:00:00 UTC,"Southwest Neighborhoods, Inc. Transportation Committee",Neighborhood/Business Association Meeting,,2021-01-04 20:27:26 UTC,,Virtual - see swni.org/calendar for details,,2021-05-20 02:00:00 UTC,A,"Contact: Katherine Christensen, transportation-chair@swni.org. Website: https://swni.org/transportation-committee",,https://www.portlandoregon.gov/civic/article/779860,Southwest
SE Events,755900,2,2021-05-21 04:00:00 UTC,Eastmoreland  NA General Meeting,Meetings,,2020-11-23 20:15:23 UTC,,"Duniway School Library, 7700 SE Reed College Place",2020-11-23 20:15:23 UTC,2021-05-21 02:00:00 UTC,A,,"<p>The Eastmoreland Neighborhood Association meets on the third Thursday of each month at 7 PM, Duniway School Library, 7700 SE Reed College Place.</p>
<p>No meetings in June, July and August.</p>",https://www.portlandoregon.gov/civic/article/755900,Eastmoreland
SE Events,755935,2,2021-05-21 04:00:00 UTC,South Tabor NA General Mtg,Meetings,,2020-03-05 00:18:58 UTC,,"Trinity Church, 2700 SE 67th Ave. ",,2021-05-21 02:00:00 UTC,A,,"<p>SOUTH TABOR NEIGHBORHOOD ASSOCIATION MEETINGS are held on the third Thursday of each month at Trinity Church, 2700 SE 67th Ave., at 7pm. Everyone is welcome to attend.</p>
<p>&nbsp;</p>
<p><a href=""http://www.southtabor.org/index.html"">http://www.southtabor.org/index.html</a></p>",https://www.portlandoregon.gov/civic/article/755935,South Tabor
NW and Inner SW Events,778623,2,2021-05-21 04:00:00 UTC,Goose Hollow Foothills League Neighborhood Meeting,Neighborhood/Business Association Meeting,,2020-11-19 01:44:53 UTC,,virtual,,2021-05-21 02:00:00 UTC,A,,<p>contact info@goosehollow.org for meeting access</p>,https://www.portlandoregon.gov/civic/article/778623,Goose Hollow
SW Events,779870,2,2021-05-21 03:45:00 UTC,"Southwest Neighborhoods, Inc. Watershed Committee",Neighborhood/Business Association Meeting,,2021-01-04 20:30:33 UTC,,Virtual - see swni.org/calendar for details,,2021-05-21 02:00:00 UTC,A,"Contact: Murphy Terrell, watershed-chair@swni.org. Website: https://swni.org/watershed-committee",,https://www.portlandoregon.gov/civic/article/779870,Southwest
SW Events,779879,2,2021-05-21 03:00:00 UTC,"Southwest Neighborhoods, Inc. Schools Committee",Neighborhood/Business Association Meeting,,2021-01-04 20:33:39 UTC,,Virtual - see swni.org/calendar for details,,2021-05-21 02:00:00 UTC,A,"Contact: Patty McMahon, schools-chair@swni.org. Website: https://swni.org/schools-committee",,https://www.portlandoregon.gov/civic/article/779879,Southwest
Central NE Events,780774,2,2021-05-21 04:00:00 UTC,Rose City Park Neighborhood Association (RCPNA) Land Use/Transportation Meeting,Neighborhood/Business Association Meeting,,2021-02-01 21:52:19 UTC,,,2021-02-01 21:51:00 UTC,2021-05-21 02:00:00 UTC,A,,,https://www.portlandoregon.gov/civic/article/780774,Rose City Park
SE Events,756006,2,2021-05-25 04:00:00 UTC,Creston-Kenilworth Board Meeting,Meetings,,2020-03-05 00:23:16 UTC,,"Shut Up and Eat, 3848 SE Gladstone St, Portland, OR 97202, USA",,2021-05-25 02:00:00 UTC,A,,,https://www.portlandoregon.gov/civic/article/756006,Creston-Kenilworth
SW Events,765836,2,2021-05-25 03:00:00 UTC,"Southwest Neighborhoods, Inc. Equity & Inclusion Committee",Neighborhood/Business Association Meeting,,2020-11-01 00:58:57 UTC,,Virtual - see swni.org/calendar for details,2021-04-05 18:54:00 UTC,2021-05-25 02:00:00 UTC,A,"Contact Diane Victoria, equity-chair@swni.org. Website: https://swni.org/equity-committee",,https://www.portlandoregon.gov/civic/article/765836,Southwest
Central NE Events,780775,2,2021-05-26 03:00:00 UTC,Cully Association of Neighbors (CAN) Board Meeting,Neighborhood/Business Association Meeting,,2021-02-01 21:53:20 UTC,,,2021-02-01 21:52:00 UTC,2021-05-26 01:00:00 UTC,A,,,https://www.portlandoregon.gov/civic/article/780775,Cully
Central NE Events,707473,2,2021-05-26 04:00:00 UTC,Rose City Park Neighborhood Association (RCPNA) General Meeting,Neighborhood/Business Association Meeting,,2021-02-01 21:50:00 UTC,,German American Society 5626 NE Alameda,,2021-05-26 02:00:00 UTC,A,,,https://www.portlandoregon.gov/civic/article/707473,Rose City Park
SE Events,756041,2,2021-05-26 04:00:00 UTC,Laurelhurst NA Meeting,Meetings,,2020-03-05 00:25:10 UTC,,"All Saints Church, 3847 NE Glisan Street",,2021-05-26 02:00:00 UTC,A,,,https://www.portlandoregon.gov/civic/article/756041,Laurelhurst
SW Events,779901,2,2021-05-27 04:00:00 UTC,"Southwest Neighborhoods, Inc. Board",Neighborhood/Business Association Meeting,,2021-01-04 20:40:40 UTC,,Virtual - see swni.org/calendar for details,,2021-05-27 02:00:00 UTC,A,"Contact Leslie Hammond, president@swni.org. Website: https://swni.org/board",,https://www.portlandoregon.gov/civic/article/779901,Southwest
NW and Inner SW Events,778845,2,2021-06-02 02:30:00 UTC,Pearl District Land Use & Transportation Meeting,Land Use Planning,,2020-11-25 03:04:24 UTC,,,2020-11-25 03:04:24 UTC,2021-06-02 01:00:00 UTC,A,,<p>contact for meeting access planning@pearldistrict.org&nbsp;</p>,https://www.portlandoregon.gov/civic/article/778845,Pearl District
Inner NE Events,781863,2,2021-06-02 03:00:00 UTC,Northeast Coalition of Neighborhoods,Community Events,,2021-03-03 22:32:34 UTC,,email for meeting link/ location,,2021-06-02 01:30:00 UTC,A,Northeast Coalition of Neighborhoods,"<p>Visit www.necoalition.org or email info@necoaltion.org for details, agendas and meeting links</p>",https://www.portlandoregon.gov/civic/article/781863,Northeast
Inner NE Events,782024,2,2021-06-02 03:00:00 UTC,King Neighborhood Association,Neighborhood Event,,2021-03-05 23:59:19 UTC,,Check website for location,,2021-06-02 01:30:00 UTC,A,King Neighborhood Association,"<p>King Neighborhood Association meets&nbsp;<strong>first Tuesday</strong>&nbsp;of every month 6:30PM-8PM. Please visit&nbsp;https://kingneighborhood.org/ for more information, location/ meeting links.&nbsp;</p>",https://www.portlandoregon.gov/civic/article/782024,King
SW Events,779817,2,2021-06-02 04:00:00 UTC,Homestead Neighborhood Association,Neighborhood/Business Association Meeting,,2021-01-04 18:58:53 UTC,,Virtual - see swni.org/calendar for details,,2021-06-02 02:00:00 UTC,A,Contact: contact@homesteadna.org. Website: homesteadna.org,,https://www.portlandoregon.gov/civic/article/779817,Homestead
Central NE Events,780776,2,2021-06-02 04:00:00 UTC,Rose City Park (RCPNA) Board Meeting,Neighborhood/Business Association Meeting,,2021-02-01 22:01:42 UTC,,,2021-02-01 22:01:00 UTC,2021-06-02 02:00:00 UTC,A,,,https://www.portlandoregon.gov/civic/article/780776,Rose City Park
North Events,756662,2,2021-06-03 03:00:00 UTC,North Portland Parks Advisory Group,Community Events,,2020-03-13 01:48:02 UTC,,"Kenton Firehouse, 8105 N Brandon Ave",,2021-06-03 01:00:00 UTC,A,Supporting parks in North Portland,,https://www.portlandoregon.gov/civic/article/756662,North
Inner NE Events,781824,2,2021-06-03 03:00:00 UTC,"Concordia Neighborhood Association ",Community Events,,2021-03-03 21:55:48 UTC,,Check website for location,,2021-06-03 01:30:00 UTC,A,Concordia Neighborhood Association,"<p>Please visit&nbsp;http://concordiapdx.org/ for more info or&nbsp;www.facebook.com/groups/ConcordiaPDX/<a href=""https://www.facebook.com/groups/ConcordiaPDX/""><br /></a></p>",https://www.portlandoregon.gov/civic/article/781824,Concordia
Inner NE Events,781829,2,2021-06-03 03:00:00 UTC,"Concordia Neighborhood Association ",Community Events,,2021-03-03 21:55:54 UTC,,Check website for location,,2021-06-03 01:30:00 UTC,A,Concordia Neighborhood Association,"<p>Please visit&nbsp;http://concordiapdx.org/ for more info or&nbsp;www.facebook.com/groups/ConcordiaPDX/<a href=""https://www.facebook.com/groups/ConcordiaPDX/""><br /></a></p>",https://www.portlandoregon.gov/civic/article/781829,Concordia
SE Events,755133,2,2021-06-03 03:00:00 UTC,Woodstock NA Meeting,Meetings,,2020-03-04 21:57:29 UTC,,"Woodstock Community Center, 5905 SE 43rd Ave, Portland, OR",,2021-06-03 02:00:00 UTC,A,Woodstock neighborhood association general meeting,"<p>For more information, please visit: <a href=""http://woodstockpdx.org/"">http://woodstockpdx.org/</a></p>",https://www.portlandoregon.gov/civic/article/755133,Woodstock
SW Events,765795,2,2021-06-03 04:00:00 UTC,Hillsdale Neighborhood Association,Neighborhood/Business Association Meeting,,2020-09-06 16:29:46 UTC,,Virtual - see swni.org/calendar for details,,2021-06-03 02:00:00 UTC,A,"Contact Tatiana Lifshitz, tatiana@hna-pdx.com. Website: hna-pdx.com",,https://www.portlandoregon.gov/civic/article/765795,Hillsdale
SW Events,767970,2,2021-06-03 04:00:00 UTC,South Portland Neighborhood Association,Neighborhood/Business Association Meeting,,2020-11-01 23:19:34 UTC,,Virtual - see swni.org/calendar for details,,2021-06-03 02:00:00 UTC,A,"Contact Michael Kaplan, president@southportlandna.org. Website: southportlandna.org",,https://www.portlandoregon.gov/civic/article/767970,South
NW and Inner SW Events,778803,2,2021-06-03 04:00:00 UTC,Linnton Town Meeting,Neighborhood/Business Association Meeting,,2020-11-25 02:55:54 UTC,,,2020-11-25 02:55:54 UTC,2021-06-03 02:00:00 UTC,A,,<p>contact for meeting access info@linntonna.org&nbsp;</p>,https://www.portlandoregon.gov/civic/article/778803,Linnton
Central NE Events,780514,2,2021-06-03 03:30:00 UTC,Central Northeast Neighborhood Association (GPNA) Board Meeting,Neighborhood/Business Association Meeting,,2021-01-28 21:38:44 UTC,,4415 NE 87th Ave,2021-01-27 22:56:00 UTC,2021-06-03 02:00:00 UTC,A,,,https://www.portlandoregon.gov/civic/article/780514,Northeast
SE Events,755342,2,2021-06-04 04:00:00 UTC,Brentwood Darlington NA Meeting,Community Events,,2020-03-04 22:37:19 UTC,,"Brentwood-Darlington Community Center, 7211 SE 62nd Avenue, Portland, OR, United States",,2021-06-04 02:00:00 UTC,A,,"<p><span style=""font-size: 1.1em;"">The Brentwood-Darlington Neighborhood Association meets on the first Thursday of the month at 7 PM, Brentwood-Darlington Community Center, 7211 SE 62nd Avenue. Anyone with an interest in the Brentwood-Darlington neighborhood is welcome to join us. There is time each meeting for new business or to deal with livability issues neighbors are experiencing. Please join us.</span></p>",https://www.portlandoregon.gov/civic/article/755342,Brentwood
Central NE Events,780753,2,2021-06-04 03:30:00 UTC,Madison South Neighborhood Association (MSNA) General Meeting,Neighborhood/Business Association Meeting,,2021-02-01 21:28:29 UTC,,,2021-02-01 21:27:00 UTC,2021-06-04 02:00:00 UTC,A,,,https://www.portlandoregon.gov/civic/article/780753,Madison South
SW Events,765785,2,2021-06-07 03:00:00 UTC,South Burlingame Neighborhood Association,Neighborhood/Business Association Meeting,,2021-04-06 14:27:22 UTC,,Virtual - see southburlingamena.org website for details,2021-04-06 14:27:22 UTC,2021-06-07 02:00:00 UTC,A,"Contact: Shannon Hiller-Webb, president@southburlingamena.org. Website: southburlingamena.org",,https://www.portlandoregon.gov/civic/article/765785,South Burlingame
North Events,641755,2,2021-06-09 03:00:00 UTC,Bridgeton Neighborhood Association,Neighborhood/Business Association Meeting,,2020-02-21 18:32:09 UTC,,Courtyard Marriott Board Room 1231 N. Anchor Way,2021-03-04 21:02:00 UTC,2021-06-09 01:30:00 UTC,A,,,https://www.portlandoregon.gov/civic/article/641755,Bridgeton
SE Events,755510,2,2021-06-09 03:00:00 UTC,Reed NA Meeting,Meetings,,2020-03-04 23:11:30 UTC,,Reed College Performing Arts Building - 3203 SE Woodstock Boulevard,,2021-06-09 01:30:00 UTC,A,,,https://www.portlandoregon.gov/civic/article/755510,Reed
SW Events,766878,2,2021-06-09 03:00:00 UTC,Multnomah Neighborhood Association,Neighborhood/Business Association Meeting,,2020-10-05 19:49:55 UTC,,Virtual - see swni.org/calendar for details,,2021-06-09 02:00:00 UTC,A,"Contact Maria Thi Mai, multnomah-president@swni.org.  Website: multnomah.swni.org",,https://www.portlandoregon.gov/civic/article/766878,Multnomah
Central NE Events,780777,2,2021-06-09 04:00:00 UTC,Cully Association of Neighbors (CAN) General Meeting,Neighborhood/Business Association Meeting,,2021-02-01 22:02:30 UTC,,,2021-02-01 22:01:00 UTC,2021-06-09 02:00:00 UTC,A,,,https://www.portlandoregon.gov/civic/article/780777,Cully
SW Events,781718,2,2021-06-09 03:00:00 UTC,Arnold Creek Neighborhood Association,Neighborhood/Business Association Meeting,,2021-04-06 14:28:37 UTC,,Virtual - see arnoldcreek.org for details,2021-04-06 14:28:37 UTC,2021-06-09 02:00:00 UTC,A,"Contact Kathryn Daly and Sharon Keast, president@arnoldcreek.org. Website: arnoldcreek.org",,https://www.portlandoregon.gov/civic/article/781718,Arnold Creek
NW and Inner SW Events,778809,2,2021-06-09 20:00:00 UTC,Old Town Community Association Board Meeting,Neighborhood/Business Association Meeting,,2020-11-25 02:53:57 UTC,,,2020-11-25 02:53:56 UTC,2021-06-09 18:30:00 UTC,A,,<p>contact for meeting access chair@PDXoldtown.org&nbsp;</p>,https://www.portlandoregon.gov/civic/article/778809,Old Town
SE Events,755550,2,2021-06-10 03:30:00 UTC,Brooklyn Actions Corps General Meeting,Community Events,,2020-03-04 23:18:36 UTC,,Thelma Skelton Meals on Wheels Center 3925 Southeast Milwaukie Avenue,,2021-06-10 01:30:00 UTC,A,,"<p>Board meetings:The Brooklyn Action Corps Board meets on the second Wednesday of every month at 6:30 PM, Thelma Skelton Meals on Wheels Center 3925 Southeast Milwaukie Avenue</p>
<p>General Meetings: The Brooklyn Action Corps meets on the fourth Wednesday of odd months at 7 PM, Thelma Skelton Meals on Wheels Center 3925 Southeast Milwaukie Avenue</p>",https://www.portlandoregon.gov/civic/article/755550,Brooklyn
SW Events,767980,2,2021-06-10 03:30:00 UTC,Bridlemile Neighborhood Association,Neighborhood/Business Association Meeting,,2020-11-01 23:22:37 UTC,,Virtual - see swni.org/calendar for details,,2021-06-10 02:00:00 UTC,A,"Contact Richard Freimark, bridlemile-president@swni.org. Website: bridlemile.swni.org",,https://www.portlandoregon.gov/civic/article/767980,Bridlemile
SW Events,767990,2,2021-06-11 03:00:00 UTC,Marshall Park Neighborhood Association,Neighborhood/Business Association Meeting,,2020-11-01 23:27:26 UTC,,Virtual - see swni.org/calendar for details,,2021-06-11 01:00:00 UTC,A,"Contact Mike Charles, marshallparkchair@swni.org. Website: https://swni.org/marshallpark",,https://www.portlandoregon.gov/civic/article/767990,Marshall Park
NW and Inner SW Events,778833,2,2021-06-11 03:00:00 UTC,Pearl District Board Meeting,Neighborhood/Business Association Meeting,,2020-11-25 02:58:54 UTC,,,,2021-06-11 01:00:00 UTC,A,,<p>contact for meeting access communications@pearldistrict.org&nbsp;</p>,https://www.portlandoregon.gov/civic/article/778833,Pearl District
SE Events,755611,2,2021-06-11 04:00:00 UTC,Buckman NA Meeting,Meetings,,2020-03-04 23:21:36 UTC,,Multnomah County Boardroom (501 SE Hawthorne Blvd),,2021-06-11 02:00:00 UTC,A,,"<p>The Buckman Neighborhood Association meetings take place on the second Thursday of every month (unless otherwise noted).</p>
<p>The board meeting goes from 6:20-7:00pm, and the general meeting runs from 7:00-9:00pm. Both meetings are open to anyone interested in attending.</p>",https://www.portlandoregon.gov/civic/article/755611,Buckman
SE Events,755664,2,2021-06-11 04:00:00 UTC,Sunnyside NA Board Meeting,Meetings,,2020-03-04 23:23:53 UTC,,SE Uplift 3534 SE Main St. Portland OR 97214,,2021-06-11 02:00:00 UTC,A,,"<p>The Sunnyside Neighborhood Association meets on the second Thursday of the month at 7:30 PM, SE Uplift, 3534 SE Main.</p>",https://www.portlandoregon.gov/civic/article/755664,Sunnyside
SW Events,765775,2,2021-06-11 03:30:00 UTC,West Portland Park Neighborhood Association,Neighborhood/Business Association Meeting,,2020-09-06 16:11:12 UTC,,Virtual - see swni.org/calendar for details,,2021-06-11 02:00:00 UTC,A,"Contact Javier Moncada, wppna-president@swni.org Website: http://swni.org/w_portland_park",,https://www.portlandoregon.gov/civic/article/765775,West Portland Park
