neighborhood_id,neighborhood_name,new_neighborhood_name,website_url,correspondence_to,meeting_time,meeting_location,board_time,board_location,landuse_time,landuse_location
12,Bridlemile Neighborhood Association,Bridlemile,https://swni.org/bridlemile-neighborhood-association/,"Bridlemile Neighborhood Association c/o Southwest Neighborhoods Inc. 7688 SW Capitol Hwy Portland, OR 97219","Meetings: 2nd Wednesday of the month  (no meetings July or August).  General Meetings held in Feb, Apr, June, Oct, and Dec.  Board Meetings held in Jan, Mar, May, Sept and Nov.  Elections held in May.   Time: 7:00 PM ","Bridlemile Elementary  4300 SW 47th Dr. Portland, OR Portable Building ","Board Meetings:  2nd Wednesday of the month in January, March, May, September and November. Time:  7:00 PM ","Bridlemile Elementary 4300 SW 47th Dr. Portland, OR Portable Building",,
13,Brooklyn Action Corps,Brooklyn,http://www.brooklyn-neighborhood.org/,"PO Box 42341 Portland, OR 97202   (Including Land Use Notices)  Brooklyn Action Corps Hotline: 503-241-4540 ",Meetings: 4th Wednesday of odd numbered months Time: 7:00 PM ,"Sacred Heart Villa Community Room 3925 SE Milwaukie Ave Portland, OR 97202  (Loaves & Fishes Center) ",Meetings: 2nd Wednesday of the month Time: 6:30 PM,"Sacred Heart Villa  Community Room 3925 SE Milwaukie Ave.  Portland, OR 97202 (Loaves & Fishes Center) ",,
14,Buckman Community Association,Buckman,http://www.buckmanpdx.org,Phone: 503-482-8252; Email: buckmanboard@googlegroups.com,"7-9 pm, 2nd Thursday of the month","501 SE Hawthorne Blvd. (Multnomah County Building), main hearings room","6-7 pm, 2nd Thursday of the month.","501 SE Hawthorne Blvd. (Multnomah County Building), main hearings room",,
15,Centennial Community Association,Centennial,http://www.eastportland.org/centennial,"Centennial Community Association, c/o East Portland Community Office, 1017 NE 117th Ave, Portland, OR 97220 ","General meetings are held on the third Tuesday of January, March, May, July, September, and November from 5:30 – 7:00 pm.","Rosewood Initiative Community Center, 16126 SE Stark","Board meetings are held on the third Thursday of February, April, June, August, October, and December from 6:00 – 7:00 pm.","East Portland Community Office, 1017 NE 117th Avenue.",,
16,North Tabor Neighborhood Association,North Tabor,http://northtabor.org/,"c/o SE Uplift 3534 SE Main St Portland, OR 97214  Phone: 503-928-4655; email: board@northtabor.org  LAND USE NOTICES:  Lars Kasch and Lisa Maddocks landuse@northtabor.org ",Meeting held every 3rd Tuesday of the month 6:30pm-8:30pm. ,"Community of Christ Church, 4837 NE Couch, Portland, OR 97213 ",Meeting held every 3rd Tuesday of the month 6:30pm-8:30pm.  ,"Community of Christ Church, 4837 NE Couch, Portland, OR  97213 ",,
17,Collins View Neighborhood Association,Collins View,https://www.collinsview.org,"Collins View Neighborhood Association, c/o Southwest Neighborhoods, Inc., 7688 SW Capitol Hwy, Portland, OR  97219 ",Meetings: 1st Wednesday of every month except July and August.  Elections held in May.   Time: 7:00 PM ,Collins View NA meetings will be via Zoom until further notice ,Meetings: 1st Wednesday of every month except July and August.  Elections held in May.   Time: 7:00 PM ,Meetings will be held via Zoom until further notice ,,
18,Portsmouth Neighborhood Association,Portsmouth,http://www.portsmouthneighborhood.com,"2209 N. Schofield St, Portland, OR 97217",See website for details. Annual elections held in May.   , ,"6:30 PM, 1st Tuesday of the month. ",Peninsula Odd Fellows Lodge 4830 N. Lombard See website for details,,
19,Concordia Neighborhood Association,Concordia,http://ConcordiaPDX.org,"PO Box 11194, Portland, OR  97211","First Wednesdays, 7:00 pm - March, June, September and December","McMenamins Kennedy School  Community Room 5736 NE 33rd Ave. Portland, OR 97211 ","First Wednesdays, 7:00 pm","McMenamins Kennedy School  Community Room 5736 NE 33rd Ave. Portland, OR 97211 ",third Wednesday of each month,Community Room at McMenamin's Kennedy School 5636 NE 33rd Ave 
20,South Portland Neighborhood Association ,South,http://www.southportlandna.org,"South Portland Neighborhood Association, c/o Southwest Neighborhoods, Inc., 7688 SW Capitol Hwy, Portland, OR  97219",Meetings: 1st Wednesday of every month.  Elections held in April.  Time: 7:00 PM,"PBS Conference Center 4343 SW Corbett Ave Portland, OR 97239 ","7:00 PM, 1st Wednesday of the month.","PBS Conference Center 4343 SW Corbett Ave Portland, OR 97239",,
21,Creston-Kenilworth Neighborhood Association,Creston-Kenilworth,http://www.creston-kenilworth.org/,"C/O Southeast Uplift, 3534 SE Main, Portland OR 97214 ","7-9 pm, 4th Monday of the month","Shut Up and Eat 3848 SE Gladstone St Portland, OR 97202",,,,
22,Crestwood Neighborhood Association,Crestwood,http://swni.org/crestwood,"Crestwood Neighborhood Association, c/o Southwest Neighborhoods Inc, 7688 SW Capitol Hwy, Portland, OR 97219","Meetings: 2nd Wednesday of odd months (January, March, May, July, Sept., Nov.).  Elections held in May.    Time: 7:00 PM","West Portland United Methodist Church Library 4729 SW Taylors Ferry Rd. Portland, OR 97219 ",As announced.,"West Portland United Methodist Church Library 4729 SW Taylors Ferry Rd. Portland, OR 97219 ",,
23,Cully Association of Neighbors,Cully,http://www.cullyneighbors.org,"Cully Neighborhood Association, c/o Central Northeast Neighbors, 4415 NE 87th Ave, Portland, OR 97220","7-9 pm, 2nd Tuesday of the month. Except during July and August. Newsletters and meeting information located in yellow Cully newsstand boxes at Cully Albertsons, Rose City Safeway, 72nd and Prescott, 49th and Fremont, 60th and Killingsworth and 42nd and Prescott.","Grace Presbyterian Church, 6025 NE Prescott.  Park and enter on the eastside.",Board elections held in April.,,,
24,Portland Downtown Neighborhood Association,Portland Downtown,http://www.portlanddowntownna.com ,"Portland Downtown Neighborhood Association, c/o Neighbors West-Northwest, 2257 NW Raleigh, Portland, OR 97210 ",4th Tuesday of the month 6:00 PM No meeting in August or December,"First Congregational Church, Fellowship Hall, 1126 SW Park Ave.   Visit www.nwnw.org/calendar to confirm",4th Tuesday of the month 7:00 PM No meeting in August or December,"First Congregational Church, Fellowship Hall, 1126 SW Park Ave.   Visit www.nwnw.org/calendar ","1st & 3rd Tuesdays of the month, 8:00 - 9:00 am","Eliot Tower	 1221 SW 10th Ave, 3rd Floor meeting room"
25,East Columbia Neighborhood Association,East Columbia,http://www.ecnapdx.com,"2209 N Schofield St, Portland, OR 97217","Meetings 2nd Tuesday of odd numbered months. (Jan, Mar, May, July, Sept, Nov) Elections held in November  Columbia River RV Park Community Room 10649 NE 13th Ave. Portland, OR 97211","Columbia River RV Park Community Room 10649 NE 13th Ave. Portland, OR 97211 or on Zoom, check website","2nd Tuesday of even numbered months (Feb, Apr, Jun, Aug, Oct,Dec). 7 -8:30 PM. ","Columbia RV Park Community Room 10649 NE 13th Ave., Portland, OR 97211",,
26,Eastmoreland Neighborhood Association,Eastmoreland,http://www.eastmorelandpdx.org/,"Eastmoreland Neighborhood Association, P.O. Box 82520, Portland, OR 97282",Meetings: 3rd Thursday of every month No meetings in July or August.  Time: 7:00 pm to 9:00 pm  Zoom video until further notice. When in person meetings resume: Reed College Elliott Hall room 416  ,"Duniway School Library, 7700 SE Reed College Place",,,,
27,Eliot Neighborhood Association,Eliot,http://www.eliotneighborhood.org,"eliot@necoalition.org; Eliot Neighborhood Association, c/o Jimmy Wilson 634 ne church st. Portland Or 97211 ",7:00 pm the third Monday of each month. ,"St Phillip Deacon Episcopal church, 120 NE Knott St.",Third Monday of the month at 7:00 pm ,"Legacy Emanuel Medical Center  Medical Office Building West  Conference Room 501 N. Graham St.  Portland, OR 97227 ",2nd Mondays of the month ,"St Phillip the Deacon church, 120 NE Knott St"
28,Far Southwest Neighborhood Association,Far Southwest,http://www.farswpdx.org,"Far Southwest Neighborhood Association, c/o Southwest Neighborhoods, Inc., 7688 SW Capitol Hwy, Portland, OR  97219 ",Meetings: Twice a Year on 4th Tuesday of January and June.  Elections held in March.   Time: 7:00 PM ,"Comfort Suites Motel 11340 SW 60th Ave.  Portland, OR    SW  Barbur & 60th Ave. ",,,,
29,Forest Park Neighborhood Association,Forest Park,http://www.forestparkneighbors.org,"Forest Park Neighborhood Association, c/o Neighbors West/Northwest, 2257 NW Raleigh St, Portland, OR 97210","7:00 PM, 3rd Tuesday of the month ","Skyline Memorial Gardens, 4101 NW Skyline Blvd. use Gate 2 ","7:00 PM, 3rd Tuesday of the month","Skyline Memorial Gardens, 4101 NW Skyline Blvd. use Gate 2 ",,
30,Foster-Powell Neighborhood Association,Foster-Powell,https://fosterpowell.com,"Foster-Powell Neighborhood Association c/o SE Uplift 3534 SE Main St Portland, OR 97214 ","6:30 PM, 2nd Monday of the month. No meeting in August.  ",Subject to change.  ,,,,
31,Cathedral Park Neighborhood Association,Cathedral Park,http://www.cathedralparkpdx.org,"c/o NPNS, 2209 N Schofield, 97217"," 7:00-8:30  PM, 2nd Tuesday of the month. Annual elections in November. ","BES Water Lab, 6543 N Burlington","First Tuesday of the month, 6:30-8:00 pm ",Stormbreaker 8409 N. Lombard,"3rd Tuesday of the month, 7:00-8:30 PM","BES Water Pollution Control Lab, 6543 N. Burlington"
32,Glenfair Neighborhood Association,Glenfair,http://www.eastportland.org/glenfair,"Glenfair Neighborhood Association, c/o East Portland Community Office, 1017 NE 117th Ave, Portland, OR 97220 ","7pm, 4th Thursday May and October ",Glenfair School 15300 NE Glisan St,,,,
33,Goose Hollow Foothills League,Goose Hollow,http://www.goosehollow.org/,"Goose Hollow Foothills League, c/o Neighbors West/Northwest, 2257 NW Raleigh St, Portland, OR 97210","Board & General Meeting: 3rd Thursday of the month, 7:00 pm. Elections in Fall ","MAC Club,1849 SW Salmon. Double-check meeting location at www.nwnw.org/calendar.html",,,"1st Wednesday of the month, 7:00 pm","First United Methodist Church, 1835 SW Jefferson"
34,Grant Park Neighborhood Association,Grant Park,http://grantpark-na.org,"PO Box 13102, Portland, OR  97213 ","First Tuesday of every other month General Meeting: Begins at 7:00 pm  2012 - Oct 2, Dec 4 2013 - Feb 5, April 2, June 4, August 6  All meetings open to the public. ",Grant Park High School,"First Tuesday of every other month Board Meeting: Begins at 7:00pm  2012 - Oct 2, Dec 4 2013 - Feb 5, April 2, June 4, August 6  All meetings open to the public.",Grant Park High School,,
35,Hayden Island Neighborhood Network,Hayden Island,http://www.myhaydenisland.com/,"c/o NPNS, 2209 N Schofield, 97217","7:00 PM, 2nd Thursday of March, June, Sept,& Dec.",Oxford Suites 12226 N Jantzen Drive ,"7:00 PM, 2nd Thursday of the month following general membership meeting. ","Oxford Suites 12226 N Jantzen Drive or on Zoom, check website ",,
36,Hayhurst Neighborhood Association,Hayhurst,http://swni.org/hayhurst,"Hayhurst Neighborhood Association, c/o Southwest Neighborhoods, Inc., 7688 SW Capitol Hwy, Portland, OR  97219",Meetings: 2nd Monday of odd-numbered months.  Elections held in January.  Time: 7 pm,"Hayhurst School  5037 SW Iowa St. Portland, OR ",,,,
37,Hazelwood Neighborhood Association,Hazelwood,http://hazelwoodneighbors.org/,"Hazelwood Neighborhood Association, c/o East Portland Community Office, 1017 NE 117th Ave, Portland, OR 97220 ","3rd Monday of Jan., March, May, July, Sept., Nov.  6:30 PM.  Board elections in November.","East Portland Community Office, 1017 NE 117th Avenue ","3rd Monday of Feb., April, June, Aug., Oct., Dec. 6:30 PM.","East Portland Community Office, 1017 NE 117th Avenue ",,
38,Healy Heights Neighborhood Association,Healy Heights,,,Yearly meeting - 2nd Sunday in September,Healy Heights Park  5:00 pm Potluck Dinner.   Other meetings as announced.   Call any board member for more information.,,,,
39,Hillsdale Neighborhood Association,Hillsdale,http://www.hna-pdx.com,"Hillsdale Neighborhood Association, c/o Southwest Neighborhoods, Inc., 7688 SW Capitol Hwy, Portland, OR  97219 ",Meetings: 1st Wednesday of each month.  Elections held in May or June.   Time: 7:00 PM ,"St. Barnabas Episcopal Church, 2201 SW Vermont Ave. OR Watershed, 6388 SW Capitol Hwy. (enter between buildings) ",,,,
40,Hillside Neighborhood Association,Hillside,http://www.hillsidena.org,"Hillside Neighborhood Association, c/o Neighbors West/Northwest, 2257 NW Raleigh St, Portland, OR 97210",,,"2nd Tuesday in Jan., April, and Oct. 7:30 PM","Hillside Community Center, 653 NW Culpepper Drive",,
41,Hollywood Neighborhood Association,Hollywood,http://www.hollywoodpdx.org,"Hollywood Neighborhood Association, c/o Central Northeast Neighbors, 4415 NE 87th Ave, Portland, OR 97220","7 pm, quarterly - 4th Thursday of Jan, April, July and Oct. For more information contact: Central NE Neighbors  503-823-3156","Hollywood Senior Center, 1820 NE 40th Ave",,,,
42,Homestead Neighborhood Association,Homestead,http://www.homesteadna.org,"Homestead Neighborhood Association, c/o Southwest Neighborhoods, Inc., 7688 SW Capitol Hwy, Portland, OR  97219",Meetings:  1st Tuesday of the month (except July and August).  Elections held in June.  Time: 7:00 PM,Visit the HNA webpage for zoom meetings link information ,,,,
43,Hosford-Abernethy Neighborhood District (HAND),Hosford-Abernethy,http://www.handpdx.org/,"Hosford Abernethy Neighborhood District, 2101 SE Tibbetts, Portland, OR  97202 ","7:00 PM, 3rd Tuesday of the month.  No meetings in August or December.","St. Phillip Neri, Carvlin Hall, 2408 SE 16th Ave ",,,,
44,Humboldt Neighborhood Association,Humboldt,http://humboldtneighborhood.org/,"Humboldt Neighborhood Association, c/o Northeast Coalition of Neighborhoods, 4815 NE 7th Ave Portland, OR 97211 humboldt@necoalition.org  ","7:00- 9:00 pm, 2nd Thursdays of the month (except August)   ",Please check website for meeting location,"7:00 pm, 2nd Thursday of each month (no meeting in August) and open to all of the public. Board elections in October.    ",For current location please see website: http://humboldtneighborhood.org/  ,,
45,Irvington Community Association,Irvington,http://www.irvingtonpdx.com,"president@irvingtonpdx.com; or Irvington Community Association, PO Box 12102, Portland, OR 97212 ",Annual Meeting and election of board members is held on the second Thursday in June.,"Irvington Elementary School, library, 1320 NE Brazee ","2nd Thursday of the month, September through June, 7 PM. Board elections in June. ","Irvington Elementary School, 1320 NE Brazee",,
46,Kenton Neighborhood Association,Kenton,http://www.HistoricKenton.com,"Kenton Neighborhood Association, c/o North Portland Neighborhood Services, 2209 N Schofield, Portland, OR 97217",2nd Wednesday  2x yearly - February or March and June or July 6-8:00 pm Check website for details. Board elections annually in June ,"Disjecta 8371 N Interstate or on Zoom, check website","7:00 PM, 2nd Wednesday of the month.","Kenton Fire House, 8105 N. Brandon. or on Zoom, check website",,
47,Kerns Neighborhood Association,Kerns,http://www.kernspdx.org/,"3439 NE Sandy Blvd #627, Portland, OR 97232",Meetings: 3rd Wednesday of the month No board meetings in Aug. or Dec. Time: 6:00 PM ,"Pacific Crest Community School, 116 NE 29th Ave",,,,
48,King Neighborhood Association,King,http://kingneighborhood.org/,"King Neighborhood c/o 4815 NE 7th Ave, 97211; Send all correspondence to to kingnapdx@gmail.com ","6:30 -8:30 pm, First Tuesdays of the month  ",King Neighborhood Facility at 4815 NE 7th Avenue.&nbsp; Child care is provided on site if requested 24 hours in advance by email to  kingnapdx@gmail.com or by calling 503-388-5030. Enter via the door facing 7th Avenue. ,First Tuesdays 6:30- 8:30pm ,"Northeast Coalition of Neighbors, 4815 NE 7th Ave ",,
49,Laurelhurst Neighborhood Association,Laurelhurst,http://www.laurelhurstpdx.org,"Laurelhurst Neighborhood Association c/o Southeast Uplift Neighborhood Program 3534 NE Main St Portland, OR 97214 ","Meetings: The last Tuesday of Jan, March, May, July, Sept, Nov. Subject to change. Time: 7:00 PM  ","All Saints Parish Hall, 3847                                     NE Glisan","Meetings: 3rd Thursday of Feb, Apr, Aug, Oct, Dec.  Time: 7:00 PM","The Laurelhurst Club, 3721 SE Ankeny.",,
50,Lents Neighborhood Association,Lents,http://www.lentsneighborhoodassociation.com/,"Lents Neighborhood Association C/O East Portland Community Office 1017 NE 117th Ave. Portland, OR 97220 ",, ,, ,,
51,Linnton Neighborhood Association,Linnton,http://www.linntonna.org,"C/O Neighbors West Northwest, 2257 NW Raleigh St, Portland OR 97210","1st Wednesday of odd months (Jan., Mar., May, July, Sept., Nov.) 7:00 - 9:00 pm ","Linnton Community Center, 10614 NW St. Helens Road.","1st Wednesday of odd months (Jan., Mar., May, July, Sept., Nov.) 7 PM  Board meets after the General meeting. ","Linnton Community Center, 10614 NW St. Helens Road.",,
52,Lloyd District Community Association,Lloyd District,http://www.lloyddistrict.org,"LLoyd District Community Association P.O. Box 6762 Portland, OR  97228-6762","11:45 am to 1:15 pm, 1st Thursday of the month.  On odd numbered months there is a Coffee Networking event from 8am-9am.  On Even months there is a lunch event from 11:45-1:15.  Locations vary    ",General meetings vary in time and place.  Visit www.lloyddistrict.org for upcoming events. ,"12 noon to 1:30 pm, 3rd Thursday of the month  ","American Assets Trust, Board Room 700 NE Multnomah, Suite 300  Committee meeting dates and times can be found at www.lloyddistrict.org. ",,
53,Madison South Neighborhood Association,Madison South,http://www.madisonsouth.org,"Madison South Neighborhood Association, c/o Central Northeast Neighbors, 4415 NE 87th Ave, Portland, OR 97220","By-monthly meetings 1st Thursday @ 7pm October,December, Feburary,April,June, August ","City Bible Church 9200 NE Fremont St, Portland, OR 97220 Elections held in September. ",,,,
54,Maplewood Neighborhood Association,Maplewood,http://maplewoodna.org,"Maplewood Neighborhood Association, c/o Southwest Neighborhoods, Inc., 7688 SW Capitol Hwy, Portland, OR  97219",Meetings: 1st Tuesday of the month.  Elections held in March.  Time: 7:00 PM (6:45 PM for social time with neighbors). ,"Maplewood Coffee & Tea 5206 SW Custer St Portland, OR  97219-1365 ",Meetings:  4th Tuesday of the month. Time:  7:00 PM,"Maplewood Coffee & Tea 5206 SW Custer St Portland, OR  97219-1365",,
55,Markham Neighborhood Association,Markham,http://markhamneighborhood.com,"Markham Neighborhood Association, c/o Southwest Neighborhoods, Inc., 7688 SW Capitol Hwy, Portland, OR  97219 ", Meetings:  2nd Tuesday of the month.  Elections held in May.  Time:  7:00 PM ,"Jackson Middle School  10625 SW 35th Ave. Portland, OR",,,,
56,Marshall Park Neighborhood Association,Marshall Park,https://marshallparkna.org,"Marshall Park Neighborhood Association, c/o Southwest Neighborhoods, Inc., 7688 SW Capitol Hwy, Portland, OR  97219 ",Meetings: 2nd Thursday of the month.  Elections held in September.   Time: 6:00 PM ,"Capitol Hill Elementary School 8401 SW 17th Ave, ROOM 113 Portland, OR 97219 ",,,,
57,Mill Park Neighborhood Association,Mill Park,http://www.eastportland.org/millpark,"Mill Park Neighborhood Association, c/o East Portland Community Office, 1017 NE 117th Ave, Portland, OR 97220 ","6:30 PM, Meetings generally held on 4th Mondays of the month (with some summer and holiday exceptions). ","Gethsemane Lutheran Church, 11560 SE Market St.  ",,,,
58,Montavilla Neighborhood Association,Montavilla,,"Montavilla Neighborhood Association C/O SE Uplift  3534 SE Main Portland OR 97214  (EXCEPT LAND-USE NOTICES. Send to Land-Use chair)  All committee meetings on 4th Monday of month at 7 PM, Montavilla United Methodist Church, 232 SE 80th Ave. ",Meetings:2nd Monday of every month Time: 7:30 PM-8:30 PM ,"Montavilla United Methodist Church 232 SE 80th Ave. Portland, OR 97215 ",Meetings: 2nd Monday of every month Time: 6:30 PM-7:30 PM,"Montavilla United Methodist Church 232 SE 80th Ave. Portland, OR 97215 ",,
59,Mt Scott-Arleta Neighborhood Association,Mt. Scott-Arleta,http://www.mtscottarleta.com,"Mt Scott-Arleta Neighborhood Association PO Box 86801 Portland, OR 97286 ",Meetings: 1st Wednesday of the month Time: 6:30-8:30 PM ,"Mt. Scott Community Center, 5530 SE 72nd Ave",,,,
60,South Tabor Neighborhood Association,South Tabor,http://www.southtabor.org,"South Tabor Neighborhood Association c/o SE Uplift 3534 SE Main St Portland, OR 97214  Phone: 503-774-7521",Meetings:  Third Thursday of every month except December. Time: 7:00 PM-8:30 PM ,"Please note: All meetings are currently done virtually due to COVID-19.  Trinity Fellowship Church 2700 SE 67th Ave.  Portland, OR 97206 ","Meetings: As needed. Announced via website, email listserv and at General meetings. ",Will be announced at the time when a meeting is announced.,,
61,Multnomah Neighborhood Association,Multnomah,http://www.swni.org/multnomah,"Multnomah Neighborhood Association, c/o Southwest Neighborhoods, Inc., 7688 SW Capitol Hwy, Portland, OR  97219",Meetings:  2nd Tuesday of the month.  Elections held in October.    Time: 7:00 PM,"Multnomah Arts Center Room 30 7688 SW Capitol Hwy. Portland, OR  *For now meetings on Zoom",The MNA Executive Committee meets on the first Tuesday of each month,,,
62,Northwest District Association,Northwest District,http://www.northwestdistrictassociation.org,"Northwest District Association, c/o Neighbors West Northwest, 2257 NW Raleigh, Portland Or 97210", Annual Elections are held in May. (no monthly meeting)  ,Call 503-823-4212 to confirm  ,Third Monday each month at 6 pm, ,"Every Thursday 8 am, call to confirm, 503.823.4212	","CoHo theater, 2257 NW Raleigh Street"
63,Northwest Heights Neighborhood Association,Northwest Heights,http://nwnw.org/neighborhood/nwhna/ ,"Please call Mark Sieber for information 503-823-4212. Northwest Heights Neighborhood Association, c/o Neighbors West/Northwest, 2257 NW Raleigh St, Portland, OR 97210",Elections in November at the Annual Meeting. Meeting: TBA Time: TBA ,TBA,First Monday of every month; 12:30PM  ,Forest Heights Homeowners Association 2061 NW Miller Road Portland OR 97229  ,,
64,Northwest Industrial Business Association,Northwest Industrial,http://nwindustrial.org/,"Northwest Industrial Business Association,  c/o Venture Portland 1125 SE Madison, Suite 112  Portland, OR 97214",Annual meeting and elections in May ,,"7:30 AM, 2nd Tuesday of the month ","Holiday Inn Express, 2333 NW Vaughn St",,
65,Old Town Community Association,Old Town,http://pdxoldtown.org/,"Old Town Community Association, c/o Neighbors West Northwest, 2257 NW Raleigh St, Portland, OR 97210  Contact Phone:  503-803-4555 ","1st Wed of the Month 11:30 - 1:00  every third month (March, June, Sept., Dec.) held in the evening 6:00 - 7:30 p.m.","University of Oregon, 70 NW Couch St. ","2nd Wednesday of the month,  11:30 am   ","University of Oregon, 70 NW Couch St.  ","3rd Thursday of month, 3:30 pm ","One Pacific Square, 220 NW 2nd Ave.  "
66,Overlook Neighborhood Association,Overlook,http://www.overlookneighborhood.org ,"2209 N. Schofield, Portland, OR 97217 Email:info@overlookneighborhood.org ","7:00-9:00 pm, 3rd Tuesday of the month. Everyone invited.","Kaiser Town Hall, 3704 N. Interstate Ave. August meeting is a neighborhood picnic; December meeting is a neighborhood potluck.","7:00-9:00 pm, 1st Tuesday of the month.","Overlook House, 3839 N Melrose Dr,          Open to public ",,
67,Parkrose Neighborhood Association,Parkrose,http://www.eastportland.org/parkrose,"Parkrose Neighborhood Association, c/o East Portland Community Office, 1017 NE 117th Ave, Portland, OR 97220 ","Meets 3rd Tuesdays, 7pm (No meetings in August, November or December.) ","Rossi Farms, 3839 NE 122nd Ave.  ", , ,,
68,Parkrose Heights Association of Neighbors,Parkrose,http://parkroseheights.org/,"All correspondence including land use notices:  c/o EPCO 1017 NE 117th Ave. Portland, OR 97220 ",Contact NA for meeting details,"Parkrose United Methodist Church, Room B, 11111 NE Knott St ",,,,
69,Pearl District Neighborhood Association,Pearl District,http://www.pearldistrict.org,"Pearl District Neighborhood Association, c/o Neighbors West/Northwest, 2257 NW Raleigh St, Portland, OR 97210",Annual meeting in October,,"2nd Thurs. of each month, 6:00 PM","PNCA, 511 NW Broadway ","1st & 3rd Tuesdays, 6:00 - 7:30 pm",
